report,rule_subject,document_number,responsible_bureau,publication_year
a32,Cable Television Rate Regulations,2025-13107,Public Safety and Homeland Security Bureau,2025
a33,Assessment and Collection of Space and Earth Station Regulatory Fees for Fiscal Year 2024,2025-12579,Space Bureau,2025
a34,Lower 37 GHz Band and Use of Spectrum Bands Above 24 GHz for Mobile Radio Service,2025-10476,Public Safety and Homeland Security Bureau,2025
a35,Wireless Telecommunications Bureau Announces Licensing and Coordination Procedures for the Space Launch Service,2025-07643,Wireless Telecommunications Bureau,2025
a36,Wireless Telecommunications Bureau Announces Mechanism and Criteria for Selecting Space Launch Frequency Coordinator,2025-07641,Wireless Telecommunications Bureau,2025
a37,Advanced Methods To Target and Eliminate Unlawful Robocalls,2025-04811,Wireless Telecommunications Bureau,2025
a38,Wireless Emergency Alerts; Emergency Alert System,2025-04126,Public Safety and Homeland Security Bureau,2025
a39,Allocation of Spectrum for Non-Federal Space Launch Operations,2025-02961,Space Bureau,2025
a40,Spectrum Rules and Policies for the Operation of Unmanned Aircraft Systems,2024-29967,Wireless Telecommunications Bureau,2025
a41,Modifying Emissions Limits for the 24.25-24.45 GHz and 24.75-25.25 GHz Bands,2024-29313,Space Bureau,2024
a42,Program Originating FM Broadcast Booster Stations,2024-29290,Media Bureau,2024
a43,Spectrum Sharing Rules for NGSO Fixed-Satellite Service Systems,2024-28993,Space Bureau,2024
a44,Use of the 5.850-5.925 GHz Band,2024-28980,Wireless Telecommunications Bureau,2024
a45,Access to Video Conferencing,2024-27479,Wireline Competition Bureau,2024
a46,Establishing a 5G Fund for Rural America,2024-23404,Wireline Competition Bureau,2024
a47,NGSO Fixed-Satellite Service (Space-to-Earth) Operations in the 17.3-17.8 GHz Band,2024-28390,Space Bureau,2024
a48,Jurisdictional Separations and Referral to the Federal-State Joint Board,2024-27480,Wireline Competition Bureau,2024
a49,Improving Public Safety Communications in the 4.9 GHz Band,2024-26794,Public Safety and Homeland Security Bureau,2024
a50,Rules for FM Terrestrial Digital Audio Broadcasting Systems,2024-24105,Media Bureau,2024
a51,"Wireless Microphones in the TV Bands, 600 MHz Guard Band, 600 MHz Duplex Gap, and the 941.5-944 MHz, 944-952 MHz, 952.850-956.250 MHz, 956.45-959.85 MHz, 1435-1525 MHz, 6875-6900 M",2024-23959,Media Bureau,2024
a52,TRS Fund Support for internet Protocol Captioned Telephone Service Compensation,2024-19559,Media Bureau,2024
a53,Incarcerated People's Communications Services; Implementation of the Martha Wright-Reed Act; Rates for Interstate Inmate Calling Services,2024-18605,Wireline Competition Bureau,2024
a54,Addressing the Homework Gap Through the E-Rate Program,2024-18122,Wireline Competition Bureau,2024
a55,"Accessibility of User Interfaces, and Video Programming Guides and Menus",2024-17479,Media Bureau,2024
a56,Space Innovation; Mitigation of Orbital Debris in the New Space Age,2024-17093,Space Bureau,2024
a57,Schools and Libraries Cybersecurity Pilot Program,2024-15866,Public Safety and Homeland Security Bureau,2024
a58,Cybersecurity Labeling for Internet of Things,2024-14148,Public Safety and Homeland Security Bureau,2024
a59,"Amendments to Rules for Direct Broadcast Satellite, Satellite Services, and 17 GHz; Updates to Forms 312 and 312-R for the International Communications Filing System; Corrections t",2024-15465,Space Bureau,2024
a60,Sponsorship Identification Requirements for Foreign Government-Provided Programming,2024-15259,Media Bureau,2024
a61,Reinstatement of Radio Non-Duplication Rule for Commercial FM Stations,2024-14496,Media Bureau,2024
a62,Safeguarding and Securing the Open Internet; Restoring Internet Freedom,2024-10674,Public Safety and Homeland Security Bureau,2024
a63,Review of the Commission's Broadcast and Cable Equal Employment Opportunity Rules and Policies,2024-09468,Media Bureau,2024
a64,Single Network Future: Supplemental Coverage From Space; Space Innovation,2024-06669,Space Bureau,2024
a65,Modernizing and Expanding Access to the 70/80/90 GHz Bands; Report and Order,2024-05390,Space Bureau,2024
a66,All-In Pricing for Cable and Satellite Television Service,2024-07404,Space Bureau,2024
a67,Resilient Networks; Disruptions to Communications,2024-07402,Public Safety and Homeland Security Bureau,2024
a68,"Connect America Fund, Alaska Connect Fund, ETC Annual Reports and Certifications, Telecommunications Carriers Eligible To Receive Universal Service Support, Universal Service Refor",2024-06292,Wireline Competition Bureau,2024
a69,Location-Based Routing for Wireless 911 Calls,2024-03157,Public Safety and Homeland Security Bureau,2024
a70,Establishing Rules for Full Power Television and Class A Television Stations,2024-03956,Media Bureau,2024
a71,Mitigation of Orbital Debris in the New Space Age,2024-03506,Space Bureau,2024
a72,2018 Quadrennial Regulatory Review-Review of the Commission's Broadcast Ownership Rules,2024-02577,Media Bureau,2024
