site_id,site_name,agency_site_identifier,region,document_id,category,signature_date,document_path,document_title,official_source_url,retrieved_date,source_sha256,source_pdf_pages
SITE-05,MANSFIELD TRAIL DUMP,NJN000206345,EPA Region 2,541229,record-of-decision,2019-09-27,/input_artifacts/decision_documents/541229.txt,RECORD OF DECISION FOR OU2 FOR THE MANSFIELD TRAIL DUMP SITE,https://semspub.epa.gov/src/document/02/541229,2026-08-16,f9930146a1601a200ac9f727cd1e8e50ce997851cdb0f229c6ef8382533cb9c5,162
SITE-05,MANSFIELD TRAIL DUMP,NJN000206345,EPA Region 2,758102,explanation-of-significant-differences,2025-09-30,/input_artifacts/decision_documents/758102.txt,EXPLANATION OF SIGNIFICANT DIFFERENCES FOR OU2 FOR THE MANSFIELD TRAIL DUMP SITE,https://semspub.epa.gov/src/document/02/758102,2026-08-16,96604cdcebf6170be194309f32b842d0d8970d6044c3c5e5e28fcb898e0f1151,7
SITE-06,GARDEN STATE CLEANERS CO.,NJD053280160,EPA Region 2,55115,record-of-decision,1991-09-26,/input_artifacts/decision_documents/55115.txt,"Record of Decision, South Jersey Clothing Company Site, Garden State Cleaners Site",https://semspub.epa.gov/src/document/02/55115,2026-08-16,4c1c7024b0cd980849c4315584e84d032f880a38be1b6074c41f6ceb4a348fc1,136
SITE-06,GARDEN STATE CLEANERS CO.,NJD053280160,EPA Region 2,99996,record-of-decision,1991-09-26,/input_artifacts/decision_documents/99996.txt,"SUPERFUND RECORD OF DECISION: GARDEN STATE CLEANERS, BUENA BOROUGH, ATLANTIC COUNTY, NEW JERSEY. (WITH APPENDICES)",https://semspub.epa.gov/src/document/02/99996,2026-08-16,c6f6cb4498a109afb5f2151ef56c1bf5072c77cf63a8d03897b546381449a6e6,63
SITE-06,GARDEN STATE CLEANERS CO.,NJD053280160,EPA Region 2,109642,record-of-decision-amendment,2010-09-29,/input_artifacts/decision_documents/109642.txt,"Report:  Record of Decision Amendment, South Jersey Clothing Company Site, Garden State Cleaners Site, Buena Borough, Atlantic County New Jersey, prepared by U.S. Environmental Protection Agency, Region 2, September 2010",https://semspub.epa.gov/src/document/02/109642,2026-08-16,661f9115839b02d49ca264c0ade5104a437fadf7f90529507582632d61886a3b,90
SITE-06,GARDEN STATE CLEANERS CO.,NJD053280160,EPA Region 2,630418,explanation-of-significant-differences,2021-09-29,/input_artifacts/decision_documents/630418.txt,EXPLANATION OF SIGNIFICANT DIFFERENCES FOR OU2 FOR THE SOUTH JERSEY CLOTHING COMPANY AND THE GARDEN STATE CLEANERS COMPANY SITE,https://semspub.epa.gov/src/document/02/630418,2026-08-16,54a9f08aba45b41837eed944b4e01d8694587d8b4abc19cc50b8a7443abb3364,5
SITE-07,"MATLACK, INC.",NJD043584101,EPA Region 2,528296,record-of-decision,2017-09-29,/input_artifacts/decision_documents/528296.txt,RECORD OF DECISION FOR THE MATLACK INCORPORATED SITE,https://semspub.epa.gov/src/document/02/528296,2026-08-16,0d2110b6c772e9c678eac9ccb93795288d5d185b73ef16c732143fe8dfb49245,125
SITE-07,"MATLACK, INC.",NJD043584101,EPA Region 2,586742,note-to-file,2020-02-06,/input_artifacts/decision_documents/586742.txt,NOTE TO FILE REGARDING A CORRECTION TO A TABLE IN THE RECORD OF DECISION FOR THE MATLACK INCORPORATED SITE,https://semspub.epa.gov/src/document/02/586742,2026-08-16,c2303fe2b1db55d99da7e83ee100b6c2e11fd310f4b8d498ada253cd51c84f53,2
SITE-07,"MATLACK, INC.",NJD043584101,EPA Region 2,652546,record-of-decision-amendment,2023-08-07,/input_artifacts/decision_documents/652546.txt,RECORD OF DECISION AMENDMENT FOR THE MATLACK INCORPORATED SITE,https://semspub.epa.gov/src/document/02/652546,2026-08-16,2f5f5f2cfad14d0a1ac74d169bbcdf3101eec9c6044cca9742fda4a52dd93b63,159
SITE-08,CIBA-GEIGY CORP.,NJD001502517,EPA Region 2,99884,record-of-decision,1989-04-24,/input_artifacts/decision_documents/99884.txt,"DECLARATION STATEMENT, RECORD OF DECISION, CIBA-GEIGY CHEMICAL CORPORATION, OPERABLE UNIT I, DOVER TOWNSHIP, OCEAN COUNTY, NEW JERSEY",https://semspub.epa.gov/src/document/02/99884,2026-08-16,b1fd4eeb29554ef4884ceaf7b8d7fe918190db502adfda8effd7a56486dc1920,118
SITE-08,CIBA-GEIGY CORP.,NJD001502517,EPA Region 2,109689,explanation-of-significant-differences,1993-09-30,/input_artifacts/decision_documents/109689.txt,"EXPLANATION OF SIGNIFICANT DIFFERENCES, CIBA-GEIGY SITE, TOMS RIVER, NEW JERSEY",https://semspub.epa.gov/src/document/02/109689,2026-08-16,65a7d0f7cdbd39cabd71fe14ac02b3570dfebbd2b2f3665cdd533f6f5540a47e,14
SITE-08,CIBA-GEIGY CORP.,NJD001502517,EPA Region 2,58825,record-of-decision,2000-09-29,/input_artifacts/decision_documents/58825.txt,"RECORD OF DECISION - OPERABLE UNIT TWO - SITE SOURCE AREAS, CIBA-GEIGY CHEMICAL CORPORATION SUPERFUND SITE, DOVER TOWNSHIP, OCEAN COUNTY, NEW JERSEY",https://semspub.epa.gov/src/document/02/58825,2026-08-16,4d4d95f2847078c7889e58d53844b2eaac3e1e5c380a6598ae73cd1a128e75fe,145
SITE-09,COSDEN CHEMICAL COATINGS CORP.,NJD000565531,EPA Region 2,109381,record-of-decision,1992-09-30,/input_artifacts/decision_documents/109381.txt,Declaration for the Record of Decision (for the Cosden Chemical Coatings Corporation site),https://semspub.epa.gov/src/document/02/109381,2026-08-16,ecffb1ffad158ddfd23d82da2ae201b34c20ea35f96382cbd09330b61d68a1fe,90
SITE-09,COSDEN CHEMICAL COATINGS CORP.,NJD000565531,EPA Region 2,109382,explanation-of-significant-differences,1998-09-24,/input_artifacts/decision_documents/109382.txt,"EXPLANATION OF SIGNIFICANT DIFFERENCES, COSDEN CHEMICAL COATINGS CORPORATION",https://semspub.epa.gov/src/document/02/109382,2026-08-16,5eb84c33825690d6b6b8796c0ad49fdc5397f256add4db557d041b4422aecf25,6
SITE-09,COSDEN CHEMICAL COATINGS CORP.,NJD000565531,EPA Region 2,638482,record-of-decision-amendment,2022-09-28,/input_artifacts/decision_documents/638482.txt,RECORD OF DECISION AMENDMENT FOR OU1 FOR THE COSDEN CHEMICAL COATINGS CORPORATION SITE,https://semspub.epa.gov/src/document/02/638482,2026-08-16,f6c6761c4b02951eb073d16ed0e657f42fbbda4f46774c99787d7f1361a51dac,167
SITE-10,DIAMOND HEAD OIL REFINERY DIV.,NJD092226000,EPA Region 2,105100,record-of-decision,2009-09-25,/input_artifacts/decision_documents/105100.txt,"RECORD OF DECISION, OPERABLE UNIT 1 - LIGHT NONAQUEOUS PHASE LIQUID SOURCE AREA, DIAMOND HEAD OIL REFINERY SITE, KEARNY TOWNSHIP, HUDSON COUNTY, NEW JERSEY",https://semspub.epa.gov/src/document/02/105100,2026-08-16,db87d4b4b394bcd5f11f2252e7f3da20ce159f8fb11d97af45538d0b3d4baa28,128
SITE-10,DIAMOND HEAD OIL REFINERY DIV.,NJD092226000,EPA Region 2,528297,combined-record-of-decision-and-amendment,2017-09-29,/input_artifacts/decision_documents/528297.txt,RECORD OF DECISION FOR OU2 AND RECORD OF DECISION AMENDMENT FOR OU1 FOR THE DIAMOND HEAD OIL REFINERY DIVISION SITE,https://semspub.epa.gov/src/document/02/528297,2026-08-16,e66ca7be7fb1d41a9b228aa0932ae2888711280d82b8cc1ca74fd2612aa83ce2,132
SITE-11,ROCKAWAY TOWNSHIP WELLS,NJD980654214,EPA Region 2,100024,record-of-decision,1993-10-05,/input_artifacts/decision_documents/100024.txt,"SUPERFUND RECORD OF DECISION: ROCKAWAY TOWNSHIP WELLFIELD, ROCKAWAY, NJ.",https://semspub.epa.gov/src/document/02/100024,2026-08-16,3dc55ce75567c40c119cae6c1e15da410e450f2f7200c542a8296937047ce4a8,79
SITE-11,ROCKAWAY TOWNSHIP WELLS,NJD980654214,EPA Region 2,83478,record-of-decision,2002-10-08,/input_artifacts/decision_documents/83478.txt,"RECORD OF DECISION, ROCKAWAY TOWNSHIP WELLS SITE, ROCKAWAY TOWNSHIP, MORRIS COUNTY, NEW JERSEY. (WITH APPENDICES)",https://semspub.epa.gov/src/document/02/83478,2026-08-16,f4af943206c9090c09ee33a699ec32fabd246957d8c0e7195a1aabc03d03d730,173
SITE-11,ROCKAWAY TOWNSHIP WELLS,NJD980654214,EPA Region 2,638495,explanation-of-significant-differences,2022-09-29,/input_artifacts/decision_documents/638495.txt,EXPLANATION OF SIGNIFICANT DIFFERENCES FOR OU1 AND OU2 FOR THE ROCKAWAY TOWNSHIP WELLS SITE,https://semspub.epa.gov/src/document/02/638495,2026-08-16,454111c307f701cb23d0b79ee74dceb5017a13064f3c2ddf1ba8f81656def799,5
SITE-12,ELLIS PROPERTY,NJD980529085,EPA Region 2,99984,record-of-decision,1992-09-30,/input_artifacts/decision_documents/99984.txt,"Report: Declaration Statement, Record of Decision, Ellis Property, Evesham and Medford Townships, Burlington County, New Jersey, prepared by U.S. Environmental Protection Agency, Region 2, September 30, 1992.",https://semspub.epa.gov/src/document/02/99984,2026-08-16,e231d144c8b603edc47250444ff3ff4079b9b8aa3c738610626b64d006f54238,97
SITE-12,ELLIS PROPERTY,NJD980529085,EPA Region 2,218247,record-of-decision-amendment,2013-09-30,/input_artifacts/decision_documents/218247.txt,RECORD OF DECISION AMENDMENT FOR OU 1 FOR THE ELLIS PROPERTY SITE,https://semspub.epa.gov/src/document/02/218247,2026-08-16,3db4382aaa85b0756da215fd1a0380975cf2f214205c999c00c2d9c33d7fa1fe,160
SITE-13,"RENORA, INC.",NJD070415005,EPA Region 2,67002,record-of-decision,1987-09-29,/input_artifacts/decision_documents/67002.txt,"DECLARATION FOR THE RECORD OF DECISION, RENORA, INC., EDISON TOWNSHIP (BONHAMTOWN), MIDDLESEX COUNTY, NEW JERSEY.",https://semspub.epa.gov/src/document/02/67002,2026-08-16,1073e5e21586e24e125373f5aa230243d5d7ca6fba089261618c8127d1d5dc85,89
SITE-13,"RENORA, INC.",NJD070415005,EPA Region 2,67218,record-of-decision-amendment,1994-09-30,/input_artifacts/decision_documents/67218.txt,"DECLARATION STATEMENT, RECORD OF DECISION AMENDMENT, RENORA, INC. SITE, (O.U. 2), EDISON TOWNSHIP, MIDDLESEX COUNTY, NEW JERSEY.",https://semspub.epa.gov/src/document/02/67218,2026-08-16,d9b07f0861e0d39680782422abbcfd7a39e2675a570bf55b9c06c0c645c1baa4,154
SITE-14,BOG CREEK FARM,NJD063157150,EPA Region 2,99874,record-of-decision,1985-09-30,/input_artifacts/decision_documents/99874.txt,"RECORD OF DECISION, REMEDIAL ALTERNATIVE SELECTION, BOG CREEK FARM, HOWELL TOWNSHIP, NEW JERSEY",https://semspub.epa.gov/src/document/02/99874,2026-08-16,f49654456928b0eb86083d31deb922c85acb7c6b8300f901e6d5247e572451ee,80
SITE-14,BOG CREEK FARM,NJD063157150,EPA Region 2,102017,record-of-decision,1989-06-28,/input_artifacts/decision_documents/102017.txt,"SUPERFUND RECORD OF DECISION: BOG CREEK FARM, HOWELL TOWNSHIP, MONMOUTH COUNTY, NEW JERSEY",https://semspub.epa.gov/src/document/02/102017,2026-08-16,9bb2c615d9e8ff95bce1310fe3c7e1d1867207fb9ed2770a0d17094ef0e9f689,45
SITE-14,BOG CREEK FARM,NJD063157150,EPA Region 2,111110,explanation-of-significant-differences,2005-01-03,/input_artifacts/decision_documents/111110.txt,"EXPLANATION OF SIGNIFICANT DIFFERENCES, BOG CREEK FARM SUPERFUND SITE, (W/ATTACHMENT)",https://semspub.epa.gov/src/document/02/111110,2026-08-16,fa422cbff0c0eeebecf1f48156815f38fbef37dcc88316c45fc9b9a3977827a3,6
SITE-14,BOG CREEK FARM,NJD063157150,EPA Region 2,111116,record-of-decision-amendment,2005-09-29,/input_artifacts/decision_documents/111116.txt,"RECORD OF DECISION AMENDMENT, DECISION SUMMARY",https://semspub.epa.gov/src/document/02/111116,2026-08-16,f613060e53da9d8a8739ab94210c21640ea80ef495838f6e22e8f96e5500c0f5,110
SITE-15,SYNCON RESINS,NJD064263817,EPA Region 2,100005,record-of-decision,1986-09-29,/input_artifacts/decision_documents/100005.txt,"RECORD OF DECISION, REMEDIAL ALTERNATIVE SELECTION, SYNCON RESINS, KEARNY, NEW JERSEY, (COVER LETTER ATTACHED).",https://semspub.epa.gov/src/document/02/100005,2026-08-16,f916fc0a6fa55607489f2d2df87f08bf87d9429f34d572da885f47db37b5de01,83
SITE-15,SYNCON RESINS,NJD064263817,EPA Region 2,58824,record-of-decision,2000-09-27,/input_artifacts/decision_documents/58824.txt,"RECORD OF DECISION (ROD), SYNCON RESINS-02. (9/27/00 COVER MEMO ATTACHED)",https://semspub.epa.gov/src/document/02/58824,2026-08-16,8c3e1d3843a0d3446f1e55a9c8af9d16032b6094150447f63a3c01369ea9370b,92
SITE-15,SYNCON RESINS,NJD064263817,EPA Region 2,109384,record-of-decision-amendment,2010-09-30,/input_artifacts/decision_documents/109384.txt,"Report: Record of Decision Amendment - Operable Unit 2 Syncon Resins Superfund Site, Kearny, Hudson County, New Jersey, prepared by U.S. Environmental Protection Agency, Region 2, September 30, 2010.",https://semspub.epa.gov/src/document/02/109384,2026-08-16,f5e4b03d56b36f3efa6831ec19047f0a824ce6454cb61603f5875fa422f8874c,61
SITE-16,FRIED INDUSTRIES,NJD041828906,EPA Region 2,99988,record-of-decision,1994-06-27,/input_artifacts/decision_documents/99988.txt,"Record of Decision - Fried Industries Site, Township of East Brunswick, Middlesex County, New Jersey, June 27, 1994",https://semspub.epa.gov/src/document/02/99988,2026-08-16,599edb9ae2b22940201fc9ac26d55269ace2bed045c4d97812070baaf2ccce09,223
SITE-16,FRIED INDUSTRIES,NJD041828906,EPA Region 2,407772,explanation-of-significant-differences,2017-03-27,/input_artifacts/decision_documents/407772.txt,EXPLANATION OF SIGNIFICANT DIFFERENCES FOR OU1 FOR THE FRIED INDUSTRIES SITE,https://semspub.epa.gov/src/document/02/407772,2026-08-16,4ab4e452cfd52a269fa5e7e84a07ae0e07489c341ff9e931ca97293e3a17b0ab,6
SITE-17,KIN-BUC LANDFILL,NJD049860836,EPA Region 2,100071,record-of-decision,1988-09-30,/input_artifacts/decision_documents/100071.txt,"SUPERFUND RECORD OF DECISION, KIN-BUC LANDFILL, NEW JERSEY. (WITH APPENDICES)",https://semspub.epa.gov/src/document/02/100071,2026-08-16,6542a5517259fe6df206814dddbbb2e06b77931cf55aa555cb9a82f002308589,89
SITE-17,KIN-BUC LANDFILL,NJD049860836,EPA Region 2,56343,record-of-decision,1992-09-28,/input_artifacts/decision_documents/56343.txt,"Declaration for the Record of Decision - Kin-Buc Landfill, Edison Township, Middlesex County,
New Jersey",https://semspub.epa.gov/src/document/02/56343,2026-08-16,ad2c0528e8d14bbfad7f00a0533b8e9bf70fe4e71459a954f794242a3f192c6d,122
SITE-17,KIN-BUC LANDFILL,NJD049860836,EPA Region 2,80046,explanation-of-significant-differences,2001-08-16,/input_artifacts/decision_documents/80046.txt,"Explanation of Significant Differences, Kin-Buc Landfill Superfund Site, prepared by U. S. EPA, Region 2, August 16, 2001.",https://semspub.epa.gov/src/document/02/80046,2026-08-16,b6d19449cc5d3c446a8a41514fb4ca0c6179a6018c77398db4b9978108d12972,13
SITE-18,GOOSE FARM,NJD980530109,EPA Region 2,99982,record-of-decision,1985-09-27,/input_artifacts/decision_documents/99982.txt,"RECORD OF DECISION, REMEDIAL ALTERNATIVE SELECTION, GOOSE FARM, PLUMSTED TOWNSHIP, NEW JERSEY, (WITH ATTACHMENTS).",https://semspub.epa.gov/src/document/02/99982,2026-08-16,260069a400dd022608e9531c9c38fcf9a0eeb7f8105072462e0885e2d9f5baab,107
SITE-18,GOOSE FARM,NJD980530109,EPA Region 2,758100,record-of-decision-amendment,2025-09-23,/input_artifacts/decision_documents/758100.txt,RECORD OF DECISION AMENDMENT FOR THE GOOSE FARM SITE,https://semspub.epa.gov/src/document/02/758100,2026-08-16,0df1a7dc1efe316a8a0f7588521914fe8f861b2aaca09451c96a10ad6213857c,116
SITE-19,CALDWELL TRUCKING CO.,NJD048798953,EPA Region 2,107996,record-of-decision,1986-09-25,/input_artifacts/decision_documents/107996.txt,"RECORD OF DECISION, REMEDIAL ALTERNATIVE SELECTION",https://semspub.epa.gov/src/document/02/107996,2026-08-16,9ccf6272a7f46b62b526f7633a1ff85d74d3b02e8cdba0dfdfc0b0793705d242,60
SITE-19,CALDWELL TRUCKING CO.,NJD048798953,EPA Region 2,99876,record-of-decision,1989-09-28,/input_artifacts/decision_documents/99876.txt,"DECLARATION STATEMENT, RECORD OF DECISION, CALDWELL TRUCKING COMPANY (OFF-SITE AREAS), FAIRFIELD TOWNSHIP, ESSEX COUNTY, NEW JERSEY",https://semspub.epa.gov/src/document/02/99876,2026-08-16,370b7ff3c209248a492d173504fc533aa29f88b2da276125b81ad757a2351aa3,49
SITE-19,CALDWELL TRUCKING CO.,NJD048798953,EPA Region 2,99875,explanation-of-significant-differences,1991-05-30,/input_artifacts/decision_documents/99875.txt,"EXPLANATION OF SIGNIFICANT DIFFERENCES, CALDWELL TRUCKING SUPERFUND SITE, FAIRFIELD TOWNSHIP, NEW JERSEY",https://semspub.epa.gov/src/document/02/99875,2026-08-16,970f1ad565848e2a60983c1083db5e2f0d456fd706658f427ce778d4018ca8f2,7
SITE-19,CALDWELL TRUCKING CO.,NJD048798953,EPA Region 2,108431,explanation-of-significant-differences,1993-02-17,/input_artifacts/decision_documents/108431.txt,"EXPLANATION OF SIGNIFICANT DIFFERENCES, CALDWELL TRUCKING COMPANY SITE, FAIRFIELD TOWNSHIP, NEW JERSEY",https://semspub.epa.gov/src/document/02/108431,2026-08-16,b2f1bb96ab3045c308879a7169f8a983f49d69fb998c4be10e89ccfe288b3a91,10
SITE-19,CALDWELL TRUCKING CO.,NJD048798953,EPA Region 2,99877,explanation-of-significant-differences,1993-08-12,/input_artifacts/decision_documents/99877.txt,"EXPLANATION OF SIGNIFICANT DIFFERENCES, CALDWELL TRUCKING COMPANY SITE, FAIRFIELD TOWNSHIP, NEW JERSEY",https://semspub.epa.gov/src/document/02/99877,2026-08-16,76f249a40ddaf778581b4df429beba708bf50ab30205ae8455996340a644f65f,7
SITE-19,CALDWELL TRUCKING CO.,NJD048798953,EPA Region 2,108443,record-of-decision-amendment,1995-02-27,/input_artifacts/decision_documents/108443.txt,"DECLARATION STATEMENT, RECORD OF DECISION AMENDMENT, CALDWELL TRUCKING COMPANY SITE",https://semspub.epa.gov/src/document/02/108443,2026-08-16,18c0bab967b3c7b2879019b511d4ec0788fff2e7afa1c2c6d130a42fd4de5263,72
SITE-20,LIPARI LANDFILL,NJD980505416,EPA Region 2,272140,record-of-decision,1982-08-03,/input_artifacts/decision_documents/272140.txt,RECORD OF DECISION; REMEDIAL ALTERNATIVE SELECTION (ANALYSIS REVIEWED; DESCRIPTION OF SELECTED OPTION; DECLARATIONS; CONTAINMENT AND TREATMENT STRATEGY SELECTED AS MOST COST EFFECTIVE ...,https://semspub.epa.gov/src/document/02/272140,2026-08-16,4eed83d39a1fb8047c00267a831ff801631f3624b525c61a1d82cbbf22b0c545,3
SITE-20,LIPARI LANDFILL,NJD980505416,EPA Region 2,272479,record-of-decision,1985-09-30,/input_artifacts/decision_documents/272479.txt,RECORD OF DECISION; REMEDIAL ALTERNATIVE SUGGESTION (DOCUMENTS REVIEWED; SELECTED REMEDY; ACTION APPROVAL; DESCRIPTION OF SELECTED REMEDY.),https://semspub.epa.gov/src/document/02/272479,2026-08-16,140c43924194d8848e37cba8dd270574bb8f50fa9a58f5c0dbb377a870eae6f2,2
SITE-20,LIPARI LANDFILL,NJD980505416,EPA Region 2,102029,record-of-decision,1988-07-11,/input_artifacts/decision_documents/102029.txt,"RECORD OF DECISION, OPERABLE UNIT 3 (OFF-SITE AREAS), LIPARI LANDFILL, MANTUA TOWNSHIP, GLOUCESTER COUNTY, NJ. (WITH APPENDICES)",https://semspub.epa.gov/src/document/02/102029,2026-08-16,184b169805b6e27dfcf367e576c024d80b7623be43cd2a9dd079649c4bc607cc,146
SITE-20,LIPARI LANDFILL,NJD980505416,EPA Region 2,98496,explanation-of-significant-differences,1993-06-07,/input_artifacts/decision_documents/98496.txt,"EXPLANATION OF SIGNIFICANT DIFFERENCES, RECORD OF DECISION, LIPARI LANDFILL",https://semspub.epa.gov/src/document/02/98496,2026-08-16,87614bd20e2d85922de2d8aca2a1017f76fbf01dc1e986565505fc72dd75c0cb,11
