nct,brief_title,study_start,prespecification_version,prespecification_version_date,current_version,publication_files
NCT03502616,Efficacy and Safety of Tofacitinib in Subjects With Active Ankylosing Spondylitis (AS),2018-06-07,0,2018-04-11,25,/input_artifacts/trials/NCT03502616/publications/PMC11127290.txt /input_artifacts/trials/NCT03502616/publications/PMC12583238.txt /input_artifacts/trials/NCT03502616/publications/PMC9500130.txt
NCT03574597,Semaglutide Effects on Heart Disease and Stroke in Patients With Overweight or Obesity,2018-10-24,1,2018-09-06,200,/input_artifacts/trials/NCT03574597/publications/PMC11271387.txt /input_artifacts/trials/NCT03574597/publications/PMC11271413.txt /input_artifacts/trials/NCT03574597/publications/PMC13190271.txt
NCT03667690,Study of Rezafungin Compared to Caspofungin in Subjects With Candidemia and/or Invasive Candidiasis,2018-10-07,2,2018-10-01,87,/input_artifacts/trials/NCT03667690/publications/PMC11426279.txt /input_artifacts/trials/NCT03667690/publications/PMC11531808.txt /input_artifacts/trials/NCT03667690/publications/PMC12589930.txt
NCT03869177,Implementation of Family Involvement for Persons With Psychotic Disorders.,2019-03-21,1,2019-03-13,8,/input_artifacts/trials/NCT03869177/publications/PMC12676765.txt /input_artifacts/trials/NCT03869177/publications/PMC7547488.txt /input_artifacts/trials/NCT03869177/publications/PMC8170939.txt /input_artifacts/trials/NCT03869177/publications/PMC9469513.txt /input_artifacts/trials/NCT03869177/publications/PMC9764492.txt /input_artifacts/trials/NCT03869177/publications/PMC9934504.txt
NCT04033003,Group Antenatal Care and Delivery Project,2019-07-29,0,2019-07-22,11,/input_artifacts/trials/NCT04033003/publications/PMC11328422.txt /input_artifacts/trials/NCT04033003/publications/PMC11572523.txt /input_artifacts/trials/NCT04033003/publications/PMC12527171.txt /input_artifacts/trials/NCT04033003/publications/PMC9508671.txt
NCT04048967,Active Learning Norwegian Preschool(er)s,2019-08-15,0,2019-08-05,3,/input_artifacts/trials/NCT04048967/publications/PMC11223439.txt /input_artifacts/trials/NCT04048967/publications/PMC12498441.txt /input_artifacts/trials/NCT04048967/publications/PMC12763924.txt /input_artifacts/trials/NCT04048967/publications/PMC7350704.txt
NCT04066881,A Combination Efficacy Study in Africa of Two DNA-MVA-Env Protein or DNA-Env Protein HIV-1 Vaccine Regimens With PrEP,2020-12-15,0,2019-08-21,3,/input_artifacts/trials/NCT04066881/publications/PMC12020760.txt /input_artifacts/trials/NCT04066881/publications/PMC12629454.txt /input_artifacts/trials/NCT04066881/publications/PMC13231623.txt /input_artifacts/trials/NCT04066881/publications/PMC9649006.txt
NCT04224987,Azithromycin for Child Survival in Niger: Mortality and Resistance Trial,2020-11-24,2,2020-10-14,18,/input_artifacts/trials/NCT04224987/publications/PMC11956350.txt /input_artifacts/trials/NCT04224987/publications/PMC12246876.txt /input_artifacts/trials/NCT04224987/publications/PMC13004693.txt /input_artifacts/trials/NCT04224987/publications/PMC8082631.txt
NCT04247009,Postprandial Inflammation in Rheumatoid Arthritis,2020-02-01,0,2020-01-28,6,/input_artifacts/trials/NCT04247009/publications/PMC10798910.txt /input_artifacts/trials/NCT04247009/publications/PMC11987391.txt /input_artifacts/trials/NCT04247009/publications/PMC12106552.txt
NCT04369326,Community Initiated Preventive Therapy for TB,2021-09-07,6,2021-09-07,10,/input_artifacts/trials/NCT04369326/publications/PMC10367260.txt /input_artifacts/trials/NCT04369326/publications/PMC11386379.txt /input_artifacts/trials/NCT04369326/publications/PMC12043179.txt
NCT04424511,Effects of Mass Drug Administration of Azithromycin on Mortality and Other Outcomes Among 1-11 Month Old Infants in Mali,2020-10-15,1,2020-06-25,8,/input_artifacts/trials/NCT04424511/publications/PMC10648361.txt /input_artifacts/trials/NCT04424511/publications/PMC13254738.txt /input_artifacts/trials/NCT04424511/publications/PMC9809521.txt
NCT05254002,A Study to Learn How Well the Treatment Combination of Finerenone and Empagliflozin Works and How Safe it is Compared to Each Treatment Alone in Adult Participants With Long-term Kidney Disease (Chronic Kidney Disease) and Type 2 Diabetes,2022-06-23,4,2022-05-08,40,/input_artifacts/trials/NCT05254002/publications/PMC11556932.txt /input_artifacts/trials/NCT05254002/publications/PMC12315800.txt /input_artifacts/trials/NCT05254002/publications/PMC12722168.txt
NCT05485402,Dietary Strategy to Tackle Sarcopenia in Early Elderly Subjects (FOOP-Sarc),2022-09-01,0,2022-08-02,2,/input_artifacts/trials/NCT05485402/publications/PMC11123861.txt /input_artifacts/trials/NCT05485402/publications/PMC11970529.txt /input_artifacts/trials/NCT05485402/publications/PMC12963666.txt
