season,mating_id,cow_id,bull_id,holding_code,calvings,calves_reared,outcome
2009,M2009-061,276000813590674,276000812689145,URB,1,1,CALVED
2009,M2009-062,276000813001636,276000812698734,OBR,0,0,NOT_IN_CALF
2009,M2009-063,276000813270939,276000813270863,WLD,0,0,NOT_IN_CALF
2009,M2009-064,276000802947937,276000813838584,FRB,0,0,NOT_IN_CALF
2009,M2009-065,276000813121710,276000813007328,HRB,0,0,NOT_IN_CALF
2009,M2009-066,276000891885837,276000812698734,MUN,0,0,NOT_IN_CALF
2009,M2009-067,276000811082009,276000892494994,HRB,0,0,NOT_IN_CALF
2009,M2009-069,276000814117016,276000812689145,ZRN,1,0,FAILED
2009,M2009-071,276000813155752,276000811815586,KAN,1,0,FAILED
2009,M2009-073,276000813369054,276000811815586,URB,1,0,FAILED
2009,M2009-075,276000891618439,276000813838584,URB,1,0,FAILED
2009,M2009-077,276000812433061,276000813838643,ELZ,1,0,FAILED
2009,M2009-079,276000812806015,276000812496917,KAN,1,0,FAILED
2009,M2009-081,276000812939303,276000892238051,GLT,1,0,FAILED
2009,M2009-083,276000812347135,276000810331698,URB,1,0,FAILED
