record_id,animal_id,weighed_on,liveweight_kg,condition_score,recorded_by
W0063,276000812698734,2009-09-04,671,4,Dr. med. vet. K. Ruesch
W0064,276000812698734,2010-02-05,687,2,Dr. med. vet. E. Schuermann
W0065,276000812698735,2009-10-13,565,3,TA M. Winterhalder
W0066,276000812698735,2010-01-21,561,3,Dr. med. vet. E. Schuermann
W0067,276000812749583,2009-10-17,671,3,TA J. Kienzler
W0068,276000812749583,2010-01-22,675,3,TA M. Winterhalder
W0069,276000812749664,2009-09-04,570,3,Dr. med. vet. B. Faller
W0070,276000812749664,2010-02-19,604,3,TA S. Dold
W0071,276000812750039,2009-10-09,626,4,Dr. med. vet. A. Baumgartner
W0072,276000812750039,2010-02-18,611,3,Dr. med. vet. B. Faller
W0073,276000812750057,2009-09-28,335,3,Dr. med. vet. E. Schuermann
W0074,276000812750057,2010-02-10,384,4,TA S. Dold
W0075,276000812806015,2009-10-16,417,4,TA S. Dold
W0076,276000812806015,2010-01-27,364,3,Dr. med. vet. K. Ruesch
W0077,276000812898234,2009-09-04,322,3,Dr. med. vet. A. Baumgartner
W0078,276000812898234,2010-01-30,366,4,TA S. Dold
W0079,276000812922633,2009-10-18,585,3,Dr. med. vet. K. Ruesch
W0080,276000812922633,2010-01-28,558,3,Dr. med. vet. A. Baumgartner
W0081,276000812939258,2009-09-01,442,3,TA J. Kienzler
W0082,276000812939258,2010-01-17,409,3,Dr. med. vet. B. Faller
W0083,276000812939303,2009-10-31,375,4,Dr. med. vet. B. Faller
W0084,276000812939303,2010-02-01,409,2,Dr. med. vet. H. Trenkle
W0085,276000813001636,2009-10-07,410,3,TA M. Winterhalder
W0086,276000813001636,2010-01-12,391,2,Dr. med. vet. A. Baumgartner
W0087,276000813007328,2009-09-30,645,3,Dr. med. vet. A. Baumgartner
W0088,276000813007328,2010-01-31,677,3,TA J. Kienzler
W0089,276000813024702,2009-09-24,582,3,Dr. med. vet. E. Schuermann
W0090,276000813024702,2010-01-31,587,3,Dr. med. vet. E. Schuermann
W0091,276000813024705,2009-10-07,369,4,Dr. med. vet. B. Faller
W0092,276000813024705,2010-02-06,412,3,Dr. med. vet. B. Faller
W0093,276000813025007,2009-09-11,760,3,TA M. Winterhalder
W0094,276000813025007,2010-02-19,792,3,TA J. Kienzler
W0095,276000813025187,2009-09-30,634,3,Dr. med. vet. B. Faller
W0096,276000813025187,2010-02-04,605,2,TA M. Winterhalder
W0097,276000813121710,2009-09-26,312,4,TA M. Winterhalder
W0098,276000813121710,2010-01-24,334,4,Dr. med. vet. H. Trenkle
W0099,276000813155752,2009-10-20,570,3,TA S. Dold
W0100,276000813155752,2010-01-24,543,3,Dr. med. vet. A. Baumgartner
W0101,276000813155753,2009-10-09,457,3,Dr. med. vet. H. Trenkle
W0102,276000813155753,2010-02-04,484,2,TA M. Winterhalder
W0103,276000813155770,2009-09-08,480,4,Dr. med. vet. K. Ruesch
W0104,276000813155770,2010-01-12,460,2,Dr. med. vet. B. Faller
W0105,276000813212240,2009-09-09,400,3,TA M. Winterhalder
W0106,276000813212240,2010-02-03,399,2,TA S. Dold
W0107,276000813255939,2009-09-26,594,3,TA S. Dold
W0108,276000813255939,2010-01-18,590,4,Dr. med. vet. B. Faller
W0109,276000813255954,2009-10-11,796,2,Dr. med. vet. E. Schuermann
W0110,276000813255954,2010-02-06,774,2,TA J. Kienzler
W0111,276000813256327,2009-09-02,514,3,Dr. med. vet. A. Baumgartner
W0112,276000813256327,2010-02-04,526,3,TA S. Dold
W0113,276000813264775,2009-09-02,448,4,Dr. med. vet. K. Ruesch
W0114,276000813264775,2010-02-19,484,3,Dr. med. vet. H. Trenkle
W0115,276000813270863,2009-09-11,644,3,Dr. med. vet. A. Baumgartner
W0116,276000813270863,2010-01-28,656,3,Dr. med. vet. A. Baumgartner
W0117,276000813270922,2009-09-28,602,3,Dr. med. vet. A. Baumgartner
W0118,276000813270922,2010-01-29,593,3,TA M. Winterhalder
W0119,276000813270939,2009-10-28,453,3,Dr. med. vet. B. Faller
W0120,276000813270939,2010-01-30,424,3,TA J. Kienzler
W0121,276000813284910,2009-09-23,475,4,TA J. Kienzler
W0122,276000813284910,2010-02-06,447,3,TA S. Dold
W0123,276000813368967,2009-09-27,377,3,Dr. med. vet. A. Baumgartner
W0124,276000813368967,2010-01-26,352,2,TA S. Dold
W0125,276000813368975,2009-09-12,723,3,Dr. med. vet. H. Trenkle
W0126,276000813368975,2010-01-28,718,3,Dr. med. vet. H. Trenkle
W0127,276000813369001,2009-09-10,371,4,Dr. med. vet. H. Trenkle
W0128,276000813369001,2010-01-17,382,4,Dr. med. vet. A. Baumgartner
W0129,276000813369054,2009-09-08,439,3,Dr. med. vet. K. Ruesch
W0130,276000813369054,2010-01-17,404,4,Dr. med. vet. K. Ruesch
W0131,276000813369075,2009-10-01,522,3,Dr. med. vet. H. Trenkle
W0132,276000813369075,2010-01-16,528,3,TA S. Dold
W0133,276000813369197,2009-10-12,580,2,Dr. med. vet. A. Baumgartner
W0134,276000813369197,2010-01-20,596,2,TA J. Kienzler
W0135,276000813466985,2009-09-08,322,3,TA S. Dold
W0136,276000813466985,2010-01-21,345,4,Dr. med. vet. B. Faller
W0137,276000813481085,2009-10-16,511,2,TA S. Dold
W0138,276000813481085,2010-01-18,545,3,TA M. Winterhalder
W0139,276000813481302,2009-09-06,617,3,TA S. Dold
W0140,276000813481302,2010-01-18,610,3,Dr. med. vet. H. Trenkle
W0141,276000813533577,2009-09-20,726,2,Dr. med. vet. H. Trenkle
W0142,276000813533577,2010-02-01,699,3,TA J. Kienzler
W0143,276000813533673,2009-10-15,830,3,Dr. med. vet. B. Faller
W0144,276000813533673,2010-02-11,805,3,Dr. med. vet. E. Schuermann
W0145,276000813590674,2009-10-30,572,4,Dr. med. vet. E. Schuermann
W0146,276000813590674,2010-01-23,580,2,Dr. med. vet. B. Faller
W0147,276000813590680,2009-09-17,479,3,TA M. Winterhalder
W0148,276000813590680,2010-01-25,529,4,TA J. Kienzler
W0149,276000813609169,2009-09-02,368,3,Dr. med. vet. B. Faller
W0150,276000813609169,2010-01-13,374,4,Dr. med. vet. B. Faller
W0151,276000813609307,2009-09-06,442,2,Dr. med. vet. B. Faller
W0152,276000813609307,2010-01-22,425,3,Dr. med. vet. H. Trenkle
W0153,276000813617959,2009-09-17,460,3,Dr. med. vet. H. Trenkle
W0154,276000813617959,2010-01-19,500,3,Dr. med. vet. E. Schuermann
W0155,276000813677661,2009-10-24,605,3,Dr. med. vet. B. Faller
W0156,276000813677661,2010-01-28,586,2,Dr. med. vet. H. Trenkle
W0157,276000813677724,2009-09-16,557,3,Dr. med. vet. A. Baumgartner
W0158,276000813677724,2010-01-15,598,3,Dr. med. vet. H. Trenkle
W0159,276000813766171,2009-10-16,324,2,TA S. Dold
W0160,276000813766171,2010-02-14,374,4,Dr. med. vet. A. Baumgartner
W0161,276000813788183,2009-10-19,621,3,Dr. med. vet. K. Ruesch
W0162,276000813788183,2010-02-19,604,2,Dr. med. vet. E. Schuermann
W0163,276000813798266,2009-09-18,517,3,Dr. med. vet. K. Ruesch
W0164,276000813798266,2010-01-17,543,3,Dr. med. vet. H. Trenkle
W0165,276000813838584,2009-10-29,473,4,Dr. med. vet. A. Baumgartner
W0166,276000813838584,2010-01-25,481,3,Dr. med. vet. B. Faller
W0167,276000813838643,2009-09-06,705,3,Dr. med. vet. K. Ruesch
W0168,276000813838643,2010-02-18,702,2,TA M. Winterhalder
W0169,276000814047526,2009-09-23,195,3,Dr. med. vet. E. Schuermann
W0170,276000814047526,2010-01-28,222,4,Dr. med. vet. B. Faller
W0171,276000814117016,2009-10-31,343,3,Dr. med. vet. B. Faller
W0172,276000814117016,2010-01-19,367,4,Dr. med. vet. B. Faller
W0173,276000814308524,2009-09-11,354,2,Dr. med. vet. K. Ruesch
W0174,276000814308524,2010-01-11,333,3,Dr. med. vet. B. Faller
W0175,276000814357243,2009-10-28,349,3,Dr. med. vet. E. Schuermann
W0176,276000814357243,2010-01-21,357,2,Dr. med. vet. B. Faller
W0177,276000891609477,2009-10-23,535,3,Dr. med. vet. A. Baumgartner
W0178,276000891609477,2010-02-11,569,3,Dr. med. vet. K. Ruesch
W0179,276000891609485,2009-09-29,591,3,Dr. med. vet. K. Ruesch
W0180,276000891609485,2010-02-14,614,3,Dr. med. vet. H. Trenkle
W0181,276000891618439,2009-10-06,571,3,Dr. med. vet. B. Faller
W0182,276000891618439,2010-01-25,586,4,Dr. med. vet. A. Baumgartner
W0183,276000891618446,2009-10-17,436,3,TA J. Kienzler
W0184,276000891618446,2010-02-13,392,3,TA S. Dold
W0185,276000891885837,2009-10-20,616,4,TA S. Dold
W0186,276000891885837,2010-02-10,598,4,Dr. med. vet. A. Baumgartner
W0187,276000892238051,2009-10-02,646,3,Dr. med. vet. H. Trenkle
W0188,276000892238051,2010-02-16,644,4,TA J. Kienzler
W0189,276000892238056,2009-09-08,490,3,TA M. Winterhalder
W0190,276000892238056,2010-02-19,512,3,Dr. med. vet. E. Schuermann
W0191,276000892494994,2009-10-29,329,2,TA S. Dold
W0192,276000892494994,2010-01-31,355,3,TA M. Winterhalder
W0193,276000892533334,2009-10-20,350,4,Dr. med. vet. A. Baumgartner
W0194,276000892533334,2010-01-10,344,4,Dr. med. vet. E. Schuermann
W0195,276000892533335,2009-09-15,291,4,Dr. med. vet. K. Ruesch
W0196,276000892533335,2010-01-11,269,3,Dr. med. vet. K. Ruesch
W0197,276000892585285,2009-09-07,293,3,TA S. Dold
W0198,276000892585285,2010-01-28,274,2,Dr. med. vet. E. Schuermann
W0199,276000892601081,2009-10-20,283,2,Dr. med. vet. B. Faller
W0200,276000892601081,2010-02-17,297,2,TA M. Winterhalder
