project_id,registry,programme_labels
GS11167,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS11207,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS11256,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS11334,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS11401,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS11537,GOLD,none recorded
GS11639,GOLD,"Article Six Authorization: Other Purpose (General); Article Six Authorization: Withdrawn by Host Country, Other Purpose (General)"
GS11662,GOLD,none recorded
GS11732,GOLD,"Article Six Authorization: Authorized for CORSIA, Other Purpose (General); CORSIA 2024-2026 (First Phase); Emission Reduction"
GS11813,GOLD,none recorded
GS11903,GOLD,"Article Six Authorization: Authorized for CORSIA, Other Purpose (General); CORSIA 2024-2026 (First Phase); Emission Reduction"
GS11905,GOLD,"Article Six Authorization: Authorized for CORSIA, Other Purpose (General); CORSIA 2024-2026 (First Phase); Emission Reduction"
GS11906,GOLD,"Article Six Authorization: Authorized for CORSIA, Other Purpose (General); CORSIA 2024-2026 (First Phase); Emission Reduction"
GS11907,GOLD,"Article Six Authorization: Withdrawn by Host Country, Other Purpose (General); Article Six Authorization: Authorized for CORSIA, Other Purpose (General); CORSIA 2024-2026 (First Phase); Emission Reduction"
GS11908,GOLD,"Article Six Authorization: Withdrawn by Host Country, Other Purpose (General); Article Six Authorization: Authorized for CORSIA, Other Purpose (General); CORSIA 2024-2026 (First Phase); Emission Reduction"
GS11909,GOLD,"Article Six Authorization: Authorized for CORSIA, Other Purpose (General); CORSIA 2024-2026 (First Phase); Emission Reduction"
GS11910,GOLD,"Article Six Authorization: Authorized for CORSIA, Other Purpose (General); CORSIA 2024-2026 (First Phase); Emission Reduction"
GS11912,GOLD,"Article Six Authorization: Authorized for CORSIA, Other Purpose (General); CORSIA 2024-2026 (First Phase); Emission Reduction"
GS11914,GOLD,"Article Six Authorization: Authorized for CORSIA, Other Purpose (General); CORSIA 2024-2026 (First Phase); Emission Reduction"
GS11915,GOLD,"Article Six Authorization: Withdrawn by Host Country, Other Purpose (General); Article Six Authorization: Authorized for CORSIA, Other Purpose (General); CORSIA 2024-2026 (First Phase); Emission Reduction"
GS11916,GOLD,"Article Six Authorization: Authorized for CORSIA, Other Purpose (General); CORSIA 2024-2026 (First Phase); Emission Reduction"
GS11917,GOLD,"Article Six Authorization: Authorized for CORSIA, Other Purpose (General); CORSIA 2024-2026 (First Phase); Emission Reduction"
GS11918,GOLD,"Article Six Authorization: Authorized for CORSIA, Other Purpose (General); CORSIA 2024-2026 (First Phase); Emission Reduction"
GS11919,GOLD,"Article Six Authorization: Authorized for CORSIA, Other Purpose (General); CORSIA 2024-2026 (First Phase); Emission Reduction"
GS11920,GOLD,"Article Six Authorization: Authorized for CORSIA, Other Purpose (General); CORSIA 2024-2026 (First Phase); Emission Reduction"
GS11921,GOLD,"Article Six Authorization: Authorized for CORSIA, Other Purpose (General); CORSIA 2024-2026 (First Phase); Emission Reduction; Article Six Authorization: Other Purpose (General)"
GS11923,GOLD,"Article Six Authorization: Authorized for CORSIA, Other Purpose (General); CORSIA 2024-2026 (First Phase); Emission Reduction"
GS11924,GOLD,"Article Six Authorization: Withdrawn by Host Country, Other Purpose (General); Article Six Authorization: Authorized for CORSIA, Other Purpose (General); CORSIA 2024-2026 (First Phase); Emission Reduction"
GS11925,GOLD,"Article Six Authorization: Withdrawn by Host Country, Other Purpose (General); Article Six Authorization: Authorized for CORSIA, Other Purpose (General); CORSIA 2024-2026 (First Phase); Emission Reduction"
GS11926,GOLD,"Article Six Authorization: Withdrawn by Host Country, Other Purpose (General); Article Six Authorization: Authorized for CORSIA, Other Purpose (General); CORSIA 2024-2026 (First Phase); Emission Reduction"
GS11927,GOLD,"Article Six Authorization: Authorized for CORSIA, Other Purpose (General); CORSIA 2024-2026 (First Phase); Emission Reduction"
GS11928,GOLD,"Article Six Authorization: Authorized for CORSIA, Other Purpose (General); CORSIA 2024-2026 (First Phase); Emission Reduction"
GS11930,GOLD,"Article Six Authorization: Authorized for CORSIA, Other Purpose (General); CORSIA 2024-2026 (First Phase); Emission Reduction"
GS11931,GOLD,"Article Six Authorization: Authorized for CORSIA, Other Purpose (General); CORSIA 2024-2026 (First Phase); Emission Reduction"
GS11932,GOLD,"Article Six Authorization: Withdrawn by Host Country, Other Purpose (General); Article Six Authorization: Authorized for CORSIA, Other Purpose (General); CORSIA 2024-2026 (First Phase); Emission Reduction"
GS12369,GOLD,none recorded
GS12570,GOLD,none recorded
GS1363,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS1382,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS2544,GOLD,Emission Reduction
GS2567,GOLD,Emission Reduction
GS2750,GOLD,Emission Reduction
GS3077,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS3551,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS3594,GOLD,Emission Reduction
GS3597,GOLD,Emission Reduction
GS4446,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS4813,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS4822,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS4962,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS5003,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS5125,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS5229,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS5418,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS5801,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS6289,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS6301,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS6830,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS6999,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS7468,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS7469,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS7493,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS7547,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS7549,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS7637,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS7638,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS7737,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
ISOprj_1HHYZFVGW1S044ZY,ISO,ICVCM CCP
VCS1045,VCS,none recorded
VCS1207,VCS,none recorded
VCS1214,VCS,none recorded
VCS1319,VCS,none recorded
VCS1328,VCS,none recorded
VCS1380,VCS,CORSIA 2021-2023 (Pilot Phase)
VCS1437,VCS,none recorded
VCS1438,VCS,none recorded
VCS1439,VCS,none recorded
VCS1665,VCS,none recorded
VCS1732,VCS,CORSIA 2021-2023 (Pilot Phase)
VCS1800,VCS,none recorded
VCS1913,VCS,CORSIA 2021-2023 (Pilot Phase); CORSIA 2024-2026 (First Phase)
VCS1949,VCS,CORSIA 2021-2023 (Pilot Phase)
VCS1954,VCS,none recorded
VCS1975,VCS,none recorded
VCS2093,VCS,none recorded
VCS2303,VCS,CORSIA 2021-2023 (Pilot Phase)
VCS2311,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS2312,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS2313,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS2314,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS2315,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS2341,VCS,none recorded
VCS2347,VCS,CORSIA 2021-2023 (Pilot Phase)
VCS2409,VCS,Article 6 Authorized – Intl mitigation purposes
VCS2410,VCS,none recorded
VCS2449,VCS,none recorded
VCS2469,VCS,none recorded
VCS2555,VCS,none recorded
VCS2673,VCS,CORSIA 2024-2026 (First Phase); ICVCM CCP
VCS2676,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase); Reconciled VCUs
VCS2685,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS2687,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS2688,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS2689,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS2690,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS2707,VCS,Article 6 Authorized – NDC Use
VCS2738,VCS,ICVCM CCP; CORSIA 2021-2023 (Pilot Phase)
VCS2749,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes
VCS2752,VCS,CORSIA 2024-2026 (First Phase)
VCS2772,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS2773,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS2774,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS2775,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS2776,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS2777,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS2778,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS2779,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS2780,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS2794,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS2825,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS2826,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS2827,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS2924,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS2925,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS2930,VCS,ICVCM CCP; CORSIA 2024-2026 (First Phase)
VCS3021,VCS,ICVCM CCP; CORSIA 2024-2026 (First Phase)
VCS3052,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS3096,VCS,Article 6 Authorized – NDC Use
VCS3116,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes
VCS3158,VCS,none recorded
VCS3204,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS3239,VCS,none recorded
VCS3298,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – Other purposes
VCS3352,VCS,none recorded
VCS3654,VCS,CORSIA 2024-2026 (First Phase)
VCS3699,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS3720,VCS,CORSIA 2024-2026 (First Phase)
VCS3837,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase)
VCS4000,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase); Reconciled VCUs
VCS4019,VCS,none recorded
VCS4150,VCS,Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes; CORSIA 2024-2026 (First Phase); Reconciled VCUs
VCS4151,VCS,Article 6 Authorized – Intl mitigation purposes
VCS4225,VCS,none recorded
VCS4413,VCS,none recorded
VCS4531,VCS,ICVCM CCP; Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; CORSIA 2024-2026 (First Phase)
VCS5114,VCS,CORSIA 2024-2026 (First Phase)
VCS5115,VCS,CORSIA 2024-2026 (First Phase)
VCS5362,VCS,none recorded
VCS638,VCS,none recorded
VCS706,VCS,none recorded
VCS833,VCS,ICVCM CCP
