block_id,project_id,project_name,registry,vintage_year,quantity_available,scope,activity_type,reduction_or_removal,methodology,country,region,first_project_vintage,project_status,arb_wa_project,estimated_annual_reductions
CB-029,CAR1284,BNW Ranch,CAR,2021,1000,Forestry & Land Use,Avoided Grassland Conversion,Reduction,CAR U.S. Grassland Protocol,United States,North America,2017,Registered,No,
CB-030,CAR1325,Captura de Carbono Forestal Ejido San Lucas,CAR,2023,9813,Forestry & Land Use,Improved Forest Management,Impermanent Removal,CAR Mexico Forest Protocol,Mexico,Latin America and the Caribbean,2018,Registered,No,
CB-031,CAR1329,Forest Carbon Partners - Hunter Ranch Improved Forest Management Project,CAR,2021,2359,Forestry & Land Use,Improved Forest Management,Mixed,ARB Compliance Offset Protocol: U.S. Forest Projects,United States,North America,2019,Registered,ARB Compliance,
CB-032,CAR1332,Lubrecht Experimental Forest Carbon Project,CAR,2023,9763,Forestry & Land Use,Improved Forest Management,Mixed,ARB Compliance Offset Protocol: U.S. Forest Projects,United States,North America,2019,Registered,ARB Compliance,
CB-033,CAR1336,TCT Birmingham IFM Project,CAR,2023,30027,Forestry & Land Use,Improved Forest Management,Mixed,ARB Compliance Offset Protocol: U.S. Forest Projects,United States,North America,2019,Registered,ARB Compliance,
CB-034,CAR1356,El Ventorrillo - ASRTulancingo,CAR,2021,255,Forestry & Land Use,Improved Forest Management,Impermanent Removal,CAR Mexico Forest Protocol,Mexico,Latin America and the Caribbean,2018,Registered,No,
CB-035,CAR1360,Emiliano Zapata - ASRTulancingo,CAR,2021,150,Forestry & Land Use,Improved Forest Management,Impermanent Removal,CAR Mexico Forest Protocol,Mexico,Latin America and the Caribbean,2018,Registered,No,
CB-036,CAR1368,Pine Creek Improved Forest Management Project,CAR,2024,41023,Forestry & Land Use,Improved Forest Management,Mixed,ARB Compliance Offset Protocol: U.S. Forest Projects,United States,North America,2019,Registered,ARB Compliance,
CB-037,CAR1442,Shasta Cascade Timberlands Forest Carbon Project,CAR,2024,221914,Forestry & Land Use,Improved Forest Management,Mixed,ARB Compliance Offset Protocol: U.S. Forest Projects,United States,North America,2022,Registered,No,
CB-038,CAR1448,Captura de carbono forestal en el Ejido El Capulín,CAR,2023,2430,Forestry & Land Use,Improved Forest Management,Impermanent Removal,CAR Mexico Forest Protocol,Mexico,Latin America and the Caribbean,2019,Registered,No,
CB-039,CAR1480,Phlogiston Phase I,CAR,2025,4715780,Chemical Processes,N2O Destruction in Adipic Acid Production,Reduction,CAR U.S. Adipic Acid Production Protocol,United States,North America,2021,Registered,No,
CB-040,CAR1495,Ejido Valle de Topia,CAR,2024,14599,Forestry & Land Use,Improved Forest Management,Impermanent Removal,CAR Mexico Forest Protocol,Mexico,Latin America and the Caribbean,2020,Registered,No,
CB-041,CAR1505,Proyecto forestal de carbono del Ejido Pioneros de Río Xhon - Ha,CAR,2023,9,Forestry & Land Use,Improved Forest Management,Impermanent Removal,CAR Mexico Forest Protocol,Mexico,Latin America and the Caribbean,2020,Registered,No,
CB-042,CAR1507,Proyecto forestal de carbono del Ejido Xbonil,CAR,2022,6030,Forestry & Land Use,Improved Forest Management,Impermanent Removal,CAR Mexico Forest Protocol,Mexico,Latin America and the Caribbean,2020,Registered,No,
CB-043,CAR1508,Bonos Comunitarios CO2-El Naranjal,CAR,2022,7127,Forestry & Land Use,Improved Forest Management,Impermanent Removal,CAR Mexico Forest Protocol,Mexico,Latin America and the Caribbean,2020,Registered,No,
CB-044,CAR1521,Captura de carbono forestal en el ejido San Francisco Oxtotilpan,CAR,2024,14214,Forestry & Land Use,Improved Forest Management,Impermanent Removal,CAR Mexico Forest Protocol,Mexico,Latin America and the Caribbean,2020,Registered,No,
CB-045,CAR1577,Ejido Chunhuhub,CAR,2021,23134,Forestry & Land Use,Improved Forest Management,Impermanent Removal,CAR Mexico Forest Protocol,Mexico,Latin America and the Caribbean,2021,Registered,No,
CB-046,CAR1597,PREDIO RUSTICO DENOMINADO ZALEAS,CAR,2023,1596,Forestry & Land Use,Improved Forest Management,Impermanent Removal,CAR Mexico Forest Protocol,Mexico,Latin America and the Caribbean,2021,Registered,No,
CB-047,CAR1635,Captura de carbono forestal en los Bienes Comunales de San Francisco Oxtotilpan,CAR,2025,5144,Forestry & Land Use,Improved Forest Management,Impermanent Removal,CAR Mexico Forest Protocol,Mexico,Latin America and the Caribbean,2021,Registered,No,
CB-048,CAR1644,Proyecto de Captura de Carbono Forestal Ejido Bocoyna,CAR,2024,9417,Forestry & Land Use,Improved Forest Management,Impermanent Removal,CAR Mexico Forest Protocol,Mexico,Latin America and the Caribbean,2024,Registered,No,
CB-049,CAR1655,MRC Albion IFM,CAR,2025,40176,Forestry & Land Use,Improved Forest Management,Mixed,ARB Compliance Offset Protocol: U.S. Forest Projects,United States,North America,2024,Registered,No,
CB-050,CAR1674,Conhúas,CAR,2025,276775,Forestry & Land Use,Improved Forest Management,Impermanent Removal,CAR Mexico Forest Protocol,Mexico,Latin America and the Caribbean,2021,Registered,No,
CB-051,CAR1675,ProCarbono: Ejido Quebrada de Cebollas,CAR,2023,8387,Forestry & Land Use,Improved Forest Management,Impermanent Removal,CAR Mexico Forest Protocol,Mexico,Latin America and the Caribbean,2022,Registered,No,
CB-052,CAR1798,EJIDO OCOJALA,CAR,2022,792,Forestry & Land Use,Improved Forest Management,Impermanent Removal,CAR Mexico Forest Protocol,Mexico,Latin America and the Caribbean,2022,Registered,No,
CB-053,CAR1859,Carbono Forestal La Catedral,CAR,2023,85126,Forestry & Land Use,Improved Forest Management,Impermanent Removal,CAR Mexico Forest Protocol,Mexico,Latin America and the Caribbean,2022,Registered,No,
CB-054,CAR1876,Captura de Carbono Forestal en la Comunidad San Ignacio,CAR,2024,32369,Forestry & Land Use,Improved Forest Management,Impermanent Removal,CAR Mexico Forest Protocol,Mexico,Latin America and the Caribbean,2023,Registered,No,
CB-055,CAR1894,Manejo Forestal Mejorado La Esperanza,CAR,2023,23022,Forestry & Land Use,Improved Forest Management,Impermanent Removal,CAR Mexico Forest Protocol,Mexico,Latin America and the Caribbean,2023,Registered,No,
CB-056,CAR1897,Restauración Forestal Zamora,CAR,2023,32333,Forestry & Land Use,Improved Forest Management,Impermanent Removal,CAR Mexico Forest Protocol,Mexico,Latin America and the Caribbean,2023,Registered,No,
CB-057,CAR1934,Captura de Carbono Forestal en el Ejido Jesús del Monte,CAR,2023,1582,Forestry & Land Use,Improved Forest Management,Impermanent Removal,CAR Mexico Forest Protocol,Mexico,Latin America and the Caribbean,2023,Registered,No,
CB-058,CAR1935,Captura de Carbono Forestal en la Comunidad Indígena de Jauja,CAR,2023,1529,Forestry & Land Use,Improved Forest Management,Impermanent Removal,CAR Mexico Forest Protocol,Mexico,Latin America and the Caribbean,2023,Registered,No,
CB-059,CAR1956,"Carbono, Agua y Biodiversidad Indígena Lachixio",CAR,2023,10364,Forestry & Land Use,Improved Forest Management,Impermanent Removal,CAR Mexico Forest Protocol,Mexico,Latin America and the Caribbean,2022,Registered,No,
CB-060,CAR2045,American Grasslands Heritage #2,CAR,2025,417,Forestry & Land Use,Avoided Grassland Conversion,Reduction,CAR U.S. Grassland Protocol,United States,North America,2024,Registered,No,
CB-061,CAR2058,Shoal Creek Mine Methane Incineration Project,CAR,2026,120289,Industrial & Commercial,Mine Methane Capture,Reduction,ARB Compliance Offset Protocol: Mine Methane Capture Projects,United States,North America,2025,Registered,ARB Compliance,
CB-062,CAR2113,New Future Abandoned Mine Methane Recovery Project,CAR,2025,73186,Industrial & Commercial,Mine Methane Capture,Reduction,ARB Compliance Offset Protocol: Mine Methane Capture Projects,United States,North America,2025,Registered,ARB Compliance,
CB-063,CAR676,Pocosin Lakes Forest Conservation Project,CAR,2023,1416,Forestry & Land Use,Avoided Forest Conversion,Reduction,ARB Compliance Offset Protocol: U.S. Forest Projects,United States,North America,2004,Registered,ARB Early Action,
CB-064,CAR768,"Terra Yazoo City  # 9, Nitrous Oxide Abatement Project",CAR,2024,90435,Chemical Processes,N2O Destruction in Nitric Acid Production,Reduction,CAR U.S. Nitric Acid Production Protocol,United States,North America,2009,Registered,No,
CB-065,GS10220,Humbo Ethiopia Assisted Natural Regeneration Project,GOLD,2021,3181,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,,Ethiopia,Sub-Saharan Africa,2009,Gold Standard Certified Project,No,29343
CB-066,GS10790,GS10789 VPA1: Efficient and Clean Cooking for households in Somalia,GOLD,2021,424280,Household & Community,Cookstoves,Reduction,,Somalia,Sub-Saharan Africa,2019,Gold Standard Certified Project,No,358068
CB-067,GS1091,42 MW Amasya Wind Power Project,GOLD,2024,37347,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Türkiye,Western Asia,2018,Gold Standard Certified Project,No,90332
CB-068,GS1104,Zhongshan County Micro Hydro Project Bundle No.6,GOLD,2023,2502,Renewable Energy,Hydropower,Reduction,AMS-I.D. Grid connected renewable electricity generation,China,Eastern Asia,2011,Gold Standard Certified Project,No,4065
CB-069,GS11135,GS10959 VPA04 Safe Water Project in Rwanda IV,GOLD,2023,52080,Household & Community,Community Boreholes,Reduction,,Rwanda,Sub-Saharan Africa,2022,Gold Standard Certified Project,No,60000
CB-070,GS11136,GS10959 VPA05 Safe Water Project in Rwanda V,GOLD,2025,59072,Household & Community,Community Boreholes,Reduction,,Rwanda,Sub-Saharan Africa,2021,Gold Standard Certified Project,No,60000
CB-071,GS11167,Taishan Geothermal Central Heating System,GOLD,2023,60631,Renewable Energy,Geothermal,Reduction,AM0072 Fossil fuel displacement by geothermal resources for space heating,China,Eastern Asia,2020,Gold Standard Certified Project,No,143987
CB-072,GS11207,Multi-Layer Household Water Filtration System in Kenya,GOLD,2023,360983,Household & Community,Clean Water,Reduction,GS Methodology for emission reductions from safe drinking water supply,Kenya,Sub-Saharan Africa,2020,Gold Standard Certified Project,No,471924
CB-073,GS11256,Changdao Geothermal Central Heating System,GOLD,2021,112363,Renewable Energy,Geothermal,Reduction,AM0072 Fossil fuel displacement by geothermal resources for space heating,China,Eastern Asia,2020,Gold Standard Certified Project,No,382547
CB-074,GS11334,Heilongjiang Swine Farm Animal Waste Management System GHG Mitigation Project,GOLD,2021,54702,Agriculture,Manure Methane Digester,Reduction,ACM0010 GHG emission reductions from manure management systems,China,Eastern Asia,2020,Gold Standard Certified Project,No,435352
CB-075,GS11401,Bhesada Wind Power Project in Rajasthan,GOLD,2023,3370,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,India,Southern Asia,2019,Gold Standard Certified Project,No,185075
CB-076,GS11537,Dongming County Municipal Solid Waste Disposal Site Biogas Electricity Generation Project,GOLD,2021,4531,Waste Management,Landfill Methane,Reduction,AMS-III.G. Landfill methane recovery,China,Eastern Asia,2021,Gold Standard Certified Project,No,53187
CB-077,GS11639,GS11638 VPA-1 SPOUTS Water Purifier Programme in Africa- WPS in Rwanda- VPA 1,GOLD,2024,18045,Household & Community,Clean Water,Reduction,GS Methodology for emission reductions from safe drinking water supply,Rwanda,Sub-Saharan Africa,2023,Gold Standard Certified Project,No,58336
CB-078,GS11662,Gazisehir LFG Utilization Project,GOLD,2022,408612,Waste Management,Landfill Methane,Reduction,ACM0001 Flaring or use of landfill gas,Türkiye,Western Asia,2022,Gold Standard Certified Project,No,351000
CB-079,GS11732,GS10789 GS 10790 VPA42: Efficient and Clean  Cooking for households in Tanzania,GOLD,2022,22253,Household & Community,Cookstoves,Reduction,,Tanzania,Sub-Saharan Africa,2022,Gold Standard Certified Project,No,418729
CB-080,GS11813,GS Microscale VPA : Integrated Domestic Energy Systems (IDES) for rural communities in India,GOLD,2022,787,Household & Community,Cookstoves,Reduction,GS Simplified Methodology for Clean and Efficient Cookstoves,India,Southern Asia,2022,Gold Standard Certified Project,No,9344
CB-081,GS11903,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 3,GOLD,2021,15246,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Malawi,Sub-Saharan Africa,2021,Gold Standard Certified Project,No,39771
CB-082,GS11905,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 5,GOLD,2021,14349,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Malawi,Sub-Saharan Africa,2021,Gold Standard Certified Project,No,39771
CB-083,GS11906,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 6,GOLD,2021,39932,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Malawi,Sub-Saharan Africa,2021,Gold Standard Certified Project,No,39771
CB-084,GS11907,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 7,GOLD,2021,42830,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Malawi,Sub-Saharan Africa,2021,Gold Standard Certified Project,No,38778
CB-085,GS11908,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 8,GOLD,2021,17967,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Malawi,Sub-Saharan Africa,2021,Gold Standard Certified Project,No,38774
CB-086,GS11909,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 9,GOLD,2022,6534,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Malawi,Sub-Saharan Africa,2021,Gold Standard Certified Project,No,38778
CB-087,GS11910,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 10,GOLD,2021,586,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Malawi,Sub-Saharan Africa,2021,Gold Standard Certified Project,No,38778
CB-088,GS11912,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 12,GOLD,2022,19480,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Malawi,Sub-Saharan Africa,2021,Gold Standard Certified Project,No,38778
CB-089,GS11914,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 14,GOLD,2022,20474,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Malawi,Sub-Saharan Africa,2021,Gold Standard Certified Project,No,38778
CB-090,GS11915,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 15,GOLD,2021,42830,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Malawi,Sub-Saharan Africa,2021,Gold Standard Certified Project,No,38778
CB-091,GS11916,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 16,GOLD,2022,30911,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Malawi,Sub-Saharan Africa,2021,Gold Standard Certified Project,No,38778
CB-092,GS11917,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 17,GOLD,2022,24412,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Malawi,Sub-Saharan Africa,2021,Gold Standard Certified Project,No,38778
CB-093,GS11918,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 18,GOLD,2021,26802,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Malawi,Sub-Saharan Africa,2021,Gold Standard Certified Project,No,38778
CB-094,GS11919,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 19,GOLD,2023,8599,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Malawi,Sub-Saharan Africa,2021,Gold Standard Certified Project,No,38778
CB-095,GS11920,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 20,GOLD,2021,40855,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Malawi,Sub-Saharan Africa,2021,Gold Standard Certified Project,No,38778
CB-096,GS11921,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 21,GOLD,2021,23873,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Malawi,Sub-Saharan Africa,2021,Gold Standard Certified Project,No,38778
CB-097,GS11923,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 23,GOLD,2021,41106,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Malawi,Sub-Saharan Africa,2021,Gold Standard Certified Project,No,38778
CB-098,GS11924,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 24,GOLD,2023,21073,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Malawi,Sub-Saharan Africa,2021,Gold Standard Certified Project,No,38778
CB-099,GS11925,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 25,GOLD,2021,3480,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Malawi,Sub-Saharan Africa,2021,Gold Standard Certified Project,No,38778
CB-100,GS11926,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 26,GOLD,2023,22671,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Malawi,Sub-Saharan Africa,2021,Gold Standard Certified Project,No,38778
CB-101,GS11927,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 27,GOLD,2023,14111,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Malawi,Sub-Saharan Africa,2021,Gold Standard Certified Project,No,38776
CB-102,GS11928,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 29,GOLD,2023,3826,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Malawi,Sub-Saharan Africa,2021,Gold Standard Certified Project,No,38778
CB-103,GS11930,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 33,GOLD,2023,23315,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Malawi,Sub-Saharan Africa,2021,Gold Standard Certified Project,No,38778
CB-104,GS11931,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 35,GOLD,2021,42830,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Malawi,Sub-Saharan Africa,2021,Gold Standard Certified Project,No,38778
CB-105,GS11932,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 37,GOLD,2024,5024,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Malawi,Sub-Saharan Africa,2021,Gold Standard Certified Project,No,38778
CB-106,GS12369,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA032,GOLD,2023,6809,Household & Community,Cookstoves,Reduction,,India,Southern Asia,2023,Gold Standard Certified Project,No,39126
CB-107,GS12570,Building a Sustainable World: Cookstove Distribution Program,GOLD,2024,12007,Household & Community,Cookstoves,Reduction,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption,India,Southern Asia,2023,Gold Standard Certified Project,No,36220
CB-108,GS1363,Aliaga Wind Power Project,GOLD,2025,1809,Renewable Energy,Wind,Reduction,,Türkiye,Western Asia,2018,Gold Standard Certified Project,No,36858
CB-109,GS1382,BAGARASI WPP,GOLD,2024,46409,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Türkiye,Western Asia,2018,Gold Standard Certified Project,No,69355
CB-110,GS2544,Harmanlik Wind Power Plant Turkey,GOLD,2021,98885,Renewable Energy,Wind,Reduction,,Türkiye,Western Asia,2015,Gold Standard Certified Project,No,96563
CB-111,GS2567,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-055,GOLD,2022,8420,Household & Community,Biodigesters,Reduction,,China,Eastern Asia,2014,Gold Standard Certified Project,No,10244
CB-112,GS2750,African Biogas Carbon Programme (ABC) - Kenya - VPA001,GOLD,2023,10145,Household & Community,Biodigesters,Reduction,,Kenya,Sub-Saharan Africa,2013,Gold Standard Certified Project,No,52197
CB-113,GS3077,KAROVA WPP,GOLD,2024,48613,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Türkiye,Western Asia,2018,Gold Standard Certified Project,No,57725
CB-114,GS3551,Airres-4 WPP,GOLD,2024,58690,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Türkiye,Western Asia,2017,Gold Standard Certified Project,No,146569
CB-115,GS3594,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-080,GOLD,2023,8671,Household & Community,Biodigesters,Reduction,,China,Eastern Asia,2015,Gold Standard Certified Project,No,10244
