work_item_id,ndc_code,chamber_name,river,component_code,component_label,requires_dewatering,bulkhead_class,requested_duration_days,crew_class,deferrals_to_date,last_major_rehab_year
WI-033,3149310601,LOCK & DAM 14,MISSISSIPPI,BULKHEAD_SLOT,bulkhead slot and seal face,N,,8,LIGHT,1,1989
WI-034,7727150601,DRESDEN ISLAND LOCK & DAM,ILLINOIS,CULVERT_VALVE,filling and emptying culvert valve,Y,N108,20,HEAVY,1,1972
WI-035,3264790601,LOCK & DAM 9,MISSISSIPPI,CULVERT_VALVE,filling and emptying culvert valve,Y,N105,14,STANDARD,2,1976
WI-036,4026000602,CANNELTON LOCK & DAM,OHIO,LOWER_SILL,lower sill and quoin block,Y,N110,19,HEAVY,0,2003
WI-037,3285378601,ST ANTHONY FALLS LOWER LOCK & DAM,MISSISSIPPI,LOWER_SILL,lower sill and quoin block,Y,N54,23,HEAVY,2,1982
WI-038,3020090601,MEL PRICE LOCK & DAM,MISSISSIPPI,CULVERT_VALVE,filling and emptying culvert valve,Y,N110,12,STANDARD,0,2013
WI-039,3136410001,LOCK & DAM 19,MISSISSIPPI,CHAMBER_WALL_ARMOR,chamber wall armor plate,Y,N108,19,HEAVY,3,2006
WI-040,4145030602,MARKLAND LOCKS & DAM,OHIO,CULVERT_VALVE,filling and emptying culvert valve,Y,N110,18,HEAVY,0,2008
WI-041,4006306101,SMITHLAND LOCK & DAM,OHIO,CULVERT_VALVE,filling and emptying culvert valve,Y,N110,15,STANDARD,2,2044
WI-042,4396870601,DASHIELDS LOCK & DAM,OHIO,GUIDE_WALL,upstream guide wall cell,N,,8,LIGHT,2,1967
WI-043,3285378601,ST ANTHONY FALLS LOWER LOCK & DAM,MISSISSIPPI,CULVERT_VALVE,filling and emptying culvert valve,Y,N54,13,STANDARD,2,1984
WI-044,OLMSTED,OLMSTED LOCKS AND DAM,OHIO,GUIDE_WALL,upstream guide wall cell,N,,18,HEAVY,0,2071
WI-045,3267920601,LOCK & DAM 8,MISSISSIPPI,CHAMBER_WALL_ARMOR,chamber wall armor plate,Y,N105,14,STANDARD,1,2002
WI-046,3261510601,LOCK & DAM 10,MISSISSIPPI,MITER_GATE_DOWNSTREAM,downstream miter gate leaf,Y,N105,23,HEAVY,2,1962
WI-047,4154480602,CAPT ANT MELDAHL LOCK & DAM,OHIO,MITER_GATE_DOWNSTREAM,downstream miter gate leaf,Y,N110,17,STANDARD,0,2009
WI-048,4001940602,53,OHIO,CULVERT_VALVE,filling and emptying culvert valve,Y,N110,10,LIGHT,0,2000
WI-049,3270250601,LOCK & DAM 7,MISSISSIPPI,BULKHEAD_SLOT,bulkhead slot and seal face,N,,6,LIGHT,0,1965
WI-050,7715770601,PEORIA LOCK & DAM,ILLINOIS,GUIDE_WALL,upstream guide wall cell,N,,8,LIGHT,0,1978
WI-051,4004210601,LOCK & DAM 52,OHIO,MITER_GATE_UPSTREAM,upstream miter gate leaf,Y,N110,21,HEAVY,0,2029
WI-052,3152210001,LOCK & DAM 13,MISSISSIPPI,GUIDE_WALL,upstream guide wall cell,N,,8,LIGHT,0,1989
WI-053,4277850601,BELLEVILLE LOCKS & DAM,OHIO,CHAMBER_WALL_ARMOR,chamber wall armor plate,Y,N110,15,STANDARD,0,2012
WI-054,3273810601,LOCK & DAM 5,MISSISSIPPI,CHAMBER_WALL_ARMOR,chamber wall armor plate,Y,N105,10,LIGHT,0,1996
WI-055,4395030601,MONTGOMERY LOCK & DAM,OHIO,MITER_GATE_UPSTREAM,upstream miter gate leaf,Y,N110,20,HEAVY,0,1960
WI-056,3152210001,LOCK & DAM 13,MISSISSIPPI,LOWER_SILL,lower sill and quoin block,Y,N108,25,HEAVY,0,1960
WI-057,3279690601,LOCK & DAM 3,MISSISSIPPI,HYDRAULIC_SYSTEM,gate hydraulic cylinder and lines,N,,12,STANDARD,1,1998
WI-058,3155610001,LOCK & DAM 12,MISSISSIPPI,CHAMBER_WALL_ARMOR,chamber wall armor plate,Y,N108,17,STANDARD,2,1966
WI-059,3158310001,LOCK & DAM 11,MISSISSIPPI,LOWER_SILL,lower sill and quoin block,Y,N108,21,HEAVY,3,1977
WI-060,4282060601,WILLOW ISLAND LOCKS & DAM,OHIO,HYDRAULIC_SYSTEM,gate hydraulic cylinder and lines,N,,12,STANDARD,1,2027
WI-061,3145710001,LOCK & DAM 16,MISSISSIPPI,HYDRAULIC_SYSTEM,gate hydraulic cylinder and lines,N,,12,STANDARD,1,1972
WI-062,4145030602,MARKLAND LOCKS & DAM,OHIO,MITER_GATE_DOWNSTREAM,downstream miter gate leaf,Y,N110,26,HEAVY,0,1988
WI-063,7723100601,STARVED ROCK LOCK & DAM,ILLINOIS,CHAMBER_WALL_ARMOR,chamber wall armor plate,Y,N108,12,STANDARD,1,2001
WI-064,7724460601,MARSEILLES LOCK & DAM,ILLINOIS,CULVERT_VALVE,filling and emptying culvert valve,Y,N108,10,LIGHT,0,1994
WI-065,3284060601,LOCK & DAM 1 MAIN CHAMBER 1,MISSISSIPPI,BULKHEAD_SLOT,bulkhead slot and seal face,N,,8,LIGHT,0,1957
WI-066,3024140601,LOCK & DAM 25,MISSISSIPPI,LOWER_SILL,lower sill and quoin block,Y,N110,16,STANDARD,2,1995
WI-067,4274450601,RACINE LOCKS & DAM,OHIO,CULVERT_VALVE,filling and emptying culvert valve,Y,N110,19,HEAVY,1,1987
WI-068,4037720102,MCALPINE LOCKS & DAM,OHIO,BULKHEAD_SLOT,bulkhead slot and seal face,N,,10,LIGHT,3,1994
WI-069,3132410001,LOCK & DAM 21,MISSISSIPPI,CHAMBER_WALL_ARMOR,chamber wall armor plate,Y,N108,10,LIGHT,0,1970
WI-070,3275280601,LOCK & DAM 4,MISSISSIPPI,BULKHEAD_SLOT,bulkhead slot and seal face,N,,9,LIGHT,1,1971
WI-071,3143710001,LOCK & DAM 17,MISSISSIPPI,BULKHEAD_SLOT,bulkhead slot and seal face,N,,10,LIGHT,1,1959
WI-072,7729110601,LOCKPORT LOCK,ILLINOIS,GUIDE_WALL,upstream guide wall cell,N,,13,STANDARD,3,1988
