tow_id,operator,route_segments,primary_river,barge_count,tow_length_ft,tow_width_ft,commodity,committed_tons,transit_window_start,transit_window_end
TW-034,Cardinal Line,OHIO:319.6-748.2,OHIO,1,355,35,steel coil,11600,2027-02-15,2027-02-25
TW-035,Consolidated River Transport,MISSISSIPPI:206.1-588.2,MISSISSIPPI,3,745,35,chemical (non-hazardous),14300,2027-02-10,2027-03-02
TW-036,Northbend Marine,MISSISSIPPI:503.9-583.9,MISSISSIPPI,6,745,70,soybean meal,8350,2027-01-15,2027-02-06
TW-037,Delta Keel Services,ILLINOIS:176.3-259.8,ILLINOIS,6,745,70,cement,20150,2026-12-01,2026-12-13
TW-038,Cardinal Line,ILLINOIS:87.6-277.0,ILLINOIS,15,1135,105,cement,8300,2027-02-18,2027-03-13
TW-039,Two Rivers Marine,ILLINOIS:159.2-288.2,ILLINOIS,3,745,35,coal,2700,2026-12-19,2027-01-03
TW-040,Cardinal Line,MISSISSIPPI:209.0-556.5,MISSISSIPPI,4,550,70,coal,4900,2027-01-23,2027-02-12
TW-041,Northbend Marine,OHIO:342.0-534.0,OHIO,1,355,35,grain,2350,2027-02-12,2027-03-11
TW-042,Blackwater Towing,MISSISSIPPI:399.1-479.1,MISSISSIPPI,3,745,35,fertilizer,23950,2027-01-20,2027-02-07
TW-043,Consolidated River Transport,OHIO:839.7-959.7,OHIO,1,355,35,grain,7250,2027-01-06,2027-01-19
TW-044,Two Rivers Marine,MISSISSIPPI:305.8-728.7,MISSISSIPPI,15,1135,105,soybean meal,10750,2027-01-05,2027-01-20
TW-045,Blackwater Towing,ILLINOIS:94.5-244.4,ILLINOIS,6,745,70,coal,2800,2027-01-09,2027-02-11
TW-046,Consolidated River Transport,OHIO:127.2-436.4,OHIO,3,745,35,soybean meal,18150,2026-12-02,2026-12-14
TW-047,Blackwater Towing,MISSISSIPPI:355.4-453.1,MISSISSIPPI,2,550,35,coal,21250,2027-02-02,2027-03-03
TW-048,Consolidated River Transport,OHIO:307.1-786.7,OHIO,2,550,35,soybean meal,17750,2026-12-19,2027-01-11
TW-049,Blackwater Towing,OHIO:182.3-821.3,OHIO,1,355,35,salt,15550,2026-12-18,2027-01-07
TW-050,Cardinal Line,OHIO:286.2-406.2,OHIO,8,940,70,chemical (non-hazardous),13700,2026-12-26,2027-01-13
TW-051,Two Rivers Marine,MISSISSIPPI:638.8-739.7,MISSISSIPPI,2,550,35,soybean meal,21950,2027-01-18,2027-02-07
TW-052,Consolidated River Transport,OHIO:630.9-869.8,OHIO,8,940,70,grain,23600,2027-02-05,2027-03-05
TW-053,Consolidated River Transport,OHIO:56.5-689.3,OHIO,15,1135,105,grain,10300,2027-02-18,2027-03-16
TW-054,Consolidated River Transport,MISSISSIPPI:460.0-653.5,MISSISSIPPI,12,940,105,salt,2050,2026-12-27,2027-01-28
TW-055,Cardinal Line,OHIO:65.0-775.0,OHIO,9,745,105,chemical (non-hazardous),4450,2026-12-11,2026-12-26
TW-056,Delta Keel Services,ILLINOIS:100.8-163.9,ILLINOIS,9,745,105,soybean meal,13600,2027-01-28,2027-02-16
TW-057,Delta Keel Services,MISSISSIPPI:388.2-669.3,MISSISSIPPI,3,745,35,fertilizer,12500,2027-01-28,2027-02-18
TW-058,Consolidated River Transport,MISSISSIPPI:511.5-642.0,MISSISSIPPI,6,745,70,soybean meal,19800,2026-12-07,2026-12-30
TW-059,Delta Keel Services,OHIO:545.9-665.9,OHIO,8,940,70,cement,2750,2027-01-25,2027-02-25
TW-060,Consolidated River Transport,MISSISSIPPI:337.3-510.2,MISSISSIPPI,1,355,35,cement,15400,2027-01-07,2027-01-27
TW-061,Consolidated River Transport,ILLINOIS:201.3-262.6,ILLINOIS,3,745,35,petroleum coke,19600,2027-02-02,2027-03-05
TW-062,Heartland Barge,ILLINOIS:101.3-257.3,ILLINOIS,15,1135,105,petroleum coke,10550,2027-01-04,2027-01-24
TW-063,Blackwater Towing,MISSISSIPPI:809.9-853.9,MISSISSIPPI,1,355,35,coal,20400,2026-12-31,2027-01-17
TW-064,Heartland Barge,OHIO:564.8-684.8,OHIO,12,940,105,grain,20600,2027-01-23,2027-02-12
TW-065,Two Rivers Marine,OHIO:423.8-591.1,OHIO,15,1135,105,petroleum coke,14150,2027-01-24,2027-02-12
TW-066,Northbend Marine,OHIO:774.5-894.5,OHIO,8,940,70,salt,9100,2027-01-19,2027-02-20
