application_id,applicant,commodity,gross_weight_t,overall_width_m,overall_height_m,overall_length_m,axle_count,leg1_corridor_id,leg1_entry_km,leg1_exit_km,leg2_corridor_id,leg2_entry_km,leg2_exit_km,leg3_corridor_id,leg3_entry_km,leg3_exit_km,requested_move_date
APP-020,Appoquinimink Industrial Movers,Cryogenic storage vessel,56.5,5.38,4.28,42.1,19,HC-13S,0.260,5.070,,,,,,,2026-05-30
APP-021,Seaford Turbine Logistics,Turbine nacelle,40.8,4.85,31.00,46.4,24,HC-301,21.258,25.059,,,,,,,2026-04-29
APP-022,Iron Hill Heavy Transport,Precast bridge girder,25.5,5.37,3.63,27.5,15,HC-301,26.424,33.396,,,,,,,2026-06-29
APP-023,Tidewater Modular Transport,Crawler crane counterweight stack,34.9,4.45,3.91,54.1,9,HC-301,17.186,25.059,,,,,,,2026-07-22
APP-024,Milford Plant Services,Reactor column section,34.8,4.39,3.15,36.7,24,HC-009,7.755,8.982,HC-13N,16.570,16.670,,,,2026-06-01
APP-025,Nanticoke Rigging Company,Distillation tower shell,31.8,9.37,3.21,60.3,24,HC-13N,16.570,20.633,,,,,,,2026-04-30
APP-026,Christina River Rigging,Paper machine dryer roll,25.1,10.61,3.34,57.1,9,HC-13K,8.962,10.929,HC-13S,0.260,1.080,,,,2026-06-13
APP-027,Keystone Superload Services,Generator step-up transformer,77.0,5.07,3.54,28.9,13,HC-301,17.186,18.863,,,,,,,2026-07-01
APP-028,Appoquinimink Industrial Movers,Crawler crane counterweight stack,35.8,4.40,3.55,41.8,13,HC-009,4.086,6.230,,,,,,,2026-07-16
APP-029,Tidewater Modular Transport,Substation autotransformer,58.7,4.70,3.05,43.6,24,HC-009,7.755,15.564,HC-13N,7.884,9.460,HC-301,24.959,26.524,2026-06-26
APP-030,Brandywine Heavy Haul LLC,Distillation tower shell,49.3,4.39,4.15,55.9,21,HC-301,16.494,17.286,,,,,,,2026-08-13
APP-031,Delmarva Energy Logistics,Wind tower base section,25.4,9.25,3.59,47.8,24,HC-009,6.162,7.855,,,,,,,2026-08-13
APP-032,Milford Plant Services,Paper machine dryer roll,47.8,4.77,3.57,24.9,21,HC-13S,0.175,0.275,,,,,,,2026-05-06
APP-033,Keystone Superload Services,Turbine nacelle,53.9,3.72,3.72,51.9,24,HC-13K,10.829,21.583,,,,,,,2026-07-08
APP-034,Nanticoke Rigging Company,Gantry crane leg assembly,26.8,9.73,3.10,28.0,19,HC-009,8.882,12.812,,,,,,,2026-07-29
APP-035,Nanticoke Rigging Company,Turbine nacelle,31.8,10.48,4.23,52.6,17,HC-13K,0.658,5.892,HC-13S,0.175,0.360,,,,2026-06-12
APP-036,Brandywine Heavy Haul LLC,Paper machine dryer roll,27.5,4.04,4.45,54.0,17,HC-141,0.658,1.760,,,,,,,2026-07-23
APP-037,Delmarva Energy Logistics,Substation autotransformer,30.3,4.04,3.19,52.8,19,HC-141,5.730,9.787,HC-13N,8.286,9.561,,,,2026-07-30
APP-038,Seaford Turbine Logistics,Substation autotransformer,39.1,4.22,4.83,51.9,24,HC-009,8.882,12.812,,,,,,,2026-08-02
APP-039,Brandywine Heavy Haul LLC,Turbine nacelle,28.6,10.11,3.67,54.9,13,HC-13N,3.510,9.460,HC-301,13.098,16.594,,,,2026-05-16
APP-040,Christina River Rigging,Turbine nacelle,34.3,5.07,4.24,26.1,15,HC-301,9.976,12.893,,,,,,,2026-06-21
APP-041,Brandywine Heavy Haul LLC,Cryogenic storage vessel,71.7,4.66,4.01,38.0,24,HC-301,17.186,21.358,,,,,,,2026-07-13
APP-042,Delmarva Energy Logistics,Wind tower base section,54.6,4.77,3.76,50.9,11,HC-13S,4.190,5.070,,,,,,,2026-05-02
APP-043,Appoquinimink Industrial Movers,Cryogenic storage vessel,37.1,3.97,3.28,44.3,21,HC-13S,0.175,1.080,,,,,,,2026-06-03
APP-044,Keystone Superload Services,Cryogenic storage vessel,31.7,12.06,4.36,36.6,24,HC-13N,1.946,7.984,,,,,,,2026-06-13
APP-045,Iron Hill Heavy Transport,Precast bridge girder,29.6,4.82,3.22,34.8,11,HC-009,8.882,15.564,,,,,,,2026-06-09
APP-046,Christina River Rigging,Crawler crane counterweight stack,64.9,3.58,4.33,41.0,15,HC-301,18.055,21.358,HC-13N,8.463,9.561,,,,2026-08-14
APP-047,Broadkill Heavy Lift,Precast bridge girder,38.2,4.02,4.49,42.1,21,HC-141,1.660,5.248,,,,,,,2026-05-25
APP-048,Nanticoke Rigging Company,Precast bridge girder,64.6,5.16,3.72,44.7,11,HC-13S,0.256,1.080,,,,,,,2026-06-17
APP-049,Nanticoke Rigging Company,Cryogenic storage vessel,24.7,4.46,4.44,49.1,15,HC-009,6.130,7.855,,,,,,,2026-08-14
APP-050,Tidewater Modular Transport,Paper machine dryer roll,24.5,9.07,3.11,33.5,19,HC-009,5.985,6.262,,,,,,,2026-05-04
APP-051,Appoquinimink Industrial Movers,Precast bridge girder,28.1,10.07,3.23,45.2,21,HC-13S,0.256,4.290,HC-13K,0.658,5.892,,,,2026-05-17
APP-052,Christina River Rigging,Precast bridge girder,58.2,5.08,3.12,24.4,21,HC-141,9.240,9.835,,,,,,,2026-08-10
APP-053,Nanticoke Rigging Company,Cryogenic storage vessel,64.0,4.16,3.20,24.2,9,HC-13N,9.461,16.670,HC-009,6.130,7.855,,,,2026-05-08
APP-054,Brandywine Heavy Haul LLC,Generator step-up transformer,27.1,4.45,3.41,53.9,24,HC-301,27.969,33.396,HC-13N,16.570,16.670,HC-009,6.130,7.855,2026-05-16
APP-055,Delmarva Energy Logistics,Cryogenic storage vessel,38.8,4.64,3.71,58.9,9,HC-009,6.130,8.982,,,,,,,2026-05-20
APP-056,Iron Hill Heavy Transport,Gantry crane leg assembly,34.2,10.50,3.52,56.5,19,HC-13S,0.256,0.360,,,,,,,2026-07-13
APP-057,Seaford Turbine Logistics,Wind tower base section,31.0,3.60,4.21,26.3,19,HC-009,12.712,53.094,,,,,,,2026-05-20
APP-058,Seaford Turbine Logistics,Reactor column section,24.7,4.03,5.82,46.6,24,HC-141,5.518,6.840,,,,,,,2026-07-07
APP-059,Milford Plant Services,Precast bridge girder,36.8,3.76,3.94,60.0,15,HC-141,1.660,5.618,,,,,,,2026-08-12
APP-060,Delmarva Energy Logistics,Precast bridge girder,25.2,3.93,4.00,47.5,15,HC-009,4.295,7.855,,,,,,,2026-06-16
APP-061,Keystone Superload Services,Generator step-up transformer,38.8,3.66,31.17,46.3,17,HC-301,17.186,25.059,,,,,,,2026-08-16
APP-062,Tidewater Modular Transport,Reactor column section,35.8,3.78,3.21,34.0,24,HC-13N,13.742,20.135,HC-009,7.755,12.812,,,,2026-05-23
APP-063,Delmarva Energy Logistics,Reactor column section,39.7,3.90,4.66,33.7,17,HC-009,8.882,12.812,HC-13N,13.742,16.670,,,,2026-05-15
APP-064,Christina River Rigging,Cryogenic storage vessel,31.4,4.43,3.54,44.2,13,HC-009,12.712,53.094,HC-13N,13.742,20.135,HC-301,0.111,0.211,2026-07-23
APP-065,Broadkill Heavy Lift,Cryogenic storage vessel,24.7,3.49,3.47,44.1,13,HC-13K,8.962,19.730,,,,,,,2026-07-30
APP-066,Milford Plant Services,Mining shovel car body,25.1,4.64,30.35,31.1,17,HC-301,21.258,28.069,,,,,,,2026-07-13
APP-067,Seaford Turbine Logistics,Wind tower base section,25.2,3.95,4.36,34.6,11,HC-13K,2.203,9.062,,,,,,,2026-07-16
APP-068,Chesapeake Crane & Transport,Distillation tower shell,28.4,5.02,3.03,41.9,17,HC-13S,0.256,4.290,,,,,,,2026-07-22
APP-069,Iron Hill Heavy Transport,Crawler crane counterweight stack,44.1,4.15,3.14,53.4,13,HC-13N,9.360,9.561,,,,,,,2026-05-05
APP-070,Milford Plant Services,Substation autotransformer,26.7,3.87,4.14,39.6,13,HC-301,17.186,18.155,HC-13N,8.286,8.563,,,,2026-04-25
APP-071,Christina River Rigging,Precast bridge girder,24.8,5.19,3.44,51.5,11,HC-141,9.240,17.770,HC-13N,9.360,12.957,HC-13K,10.829,19.730,2026-07-06
APP-072,Keystone Superload Services,Paper machine dryer roll,25.9,3.62,4.14,60.5,9,HC-009,8.882,13.090,,,,,,,2026-07-01
