unit_id,operational_area,report_id,report_file,status_file,report_words,status_words,report_sha256,status_sha256,official_report_url,official_status_url
U13,public_program_oversight,GAO-19-519,units/U13_gao-19-519_report.txt,units/U13_gao-19-519_status.txt,23125,139,9e737d5363a0758446329de98e0ff32662f121386f874f56524ab010829415bd,63f0286e8e7fc6e6a63ec98a0d7749649b112a3852df9ba53f627dc09eb71a66,https://www.gao.gov/products/gao-19-519,https://www.gao.gov/products/gao-25-108032
U14,public_program_oversight,GAO-19-433,units/U14_gao-19-433_report.txt,units/U14_gao-19-433_status.txt,22790,205,847952b3289beb0656191feff6857da989749021fbb709e1c738ba4620021d4e,5254b9e4974ed87ed72b79e39f0b8b13d76f99f73f247145ebdafba6c1ab2a26,https://www.gao.gov/products/gao-19-433,https://www.gao.gov/products/gao-25-108032
U15,public_program_oversight,GAO-18-480,units/U15_gao-18-480_report.txt,units/U15_gao-18-480_status.txt,19519,315,6375fe82826c52ecf529e7f9c9c3d8123f2ab0bac3e790159aa0536db9cad4d6,8ed311fda7334b8d6b457c720654800254382095ac8dcfa7c6da38935ef11ca7,https://www.gao.gov/products/gao-18-480,https://www.gao.gov/products/gao-25-108032
U16,medicaid_oversight,GAO-24-106202,units/U16_gao-24-106202_report.txt,units/U16_gao-24-106202_status.txt,17772,303,b24b76e1be3c84607b262d23831ce5b74950693c573e16aa8f455e72d1606e85,89acd4cff2ecc79fd8e6bb62ccdd5b6f4ed8ece4207e1f29aec6d1be4e4dc681,https://www.gao.gov/products/gao-24-106202,https://www.gao.gov/products/gao-25-108032
U17,medicaid_oversight,GAO-21-98,units/U17_gao-21-98_report.txt,units/U17_gao-21-98_status.txt,18940,265,cc03a139d240b147dd2a41a6b7b71752fe0593e1537280111cd69f9a6dd7e6c6,222f2b1bbbaa8e312379c339a779091e4324a9039e79f311a96553a8ee905d47,https://www.gao.gov/products/gao-21-98,https://www.gao.gov/products/gao-25-108032
U18,medicaid_oversight,GAO-21-49,units/U18_gao-21-49_report.txt,units/U18_gao-21-49_status.txt,14197,226,405d82f6596fb545f30c17f636d57d5a6871d949748724398673b513d4d50a83,95b0dc2d2228e3ec22ce129baf7df3769c65c27dfed5135c584fd098b27f8af2,https://www.gao.gov/products/gao-21-49,https://www.gao.gov/products/gao-25-108032
U19,medicare_payment,GAO-16-568,units/U19_gao-16-568_report.txt,units/U19_gao-16-568_status.txt,11935,230,ea504d20c77ade629a5f8e4263472ca0151079c10a4ea09defdfd56893503e3b,fb289dc61c9efefa5bc87ab4e6a23da655a2b98eb3073996bb4eccc8a9008c8c,https://www.gao.gov/products/gao-16-568,https://www.gao.gov/products/gao-25-108032
U20,medicare_payment,GAO-14-571,units/U20_gao-14-571_report.txt,units/U20_gao-14-571_status.txt,12103,216,6f1d045c8d66fdb92d0c303d0f3d969944b138ae070b58f031e4bf8ea2c1110d,ea74428630bcaa125eb87a82616c5c75991d864d279633f78fac9ec5c00f1bc4,https://www.gao.gov/products/gao-14-571,https://www.gao.gov/products/gao-25-108032
U21,medicare_payment,GAO-12-51,units/U21_gao-12-51_report.txt,units/U21_gao-12-51_status.txt,9893,315,95269413e64062deae14e37d5dc317dc7f56c717947118354d6b7599b71ad339,afd48b3a1650cc2a1a17a63743bf57e8ed18e5f897389032d0650862a305202c,https://www.gao.gov/products/gao-12-51,https://www.gao.gov/products/gao-25-108032
U22,infrastructure_privacy_it,GAO-24-105485,units/U22_gao-24-105485_report.txt,units/U22_gao-24-105485_status.txt,16126,305,2d8bff510778076e67bc659917d13c17e7c22ae1a7b869e1811b7ab1757835f5,6ca1b32bc1ead5407b23ff5849141addcd0a648af570b4c21217039c9f0640f1,https://www.gao.gov/products/gao-24-105485,https://www.gao.gov/products/gao-25-108032
U23,infrastructure_privacy_it,GAO-22-105065,units/U23_gao-22-105065_report.txt,units/U23_gao-22-105065_status.txt,31592,202,71e0317efd12b6e24f4863d2c5b9912b27a20f52cf10ce749c8f0f325f4fab03,5776290669b1b9a1672d5057cbf0214b64c0a6debe242ab05071af64db6d4574,https://www.gao.gov/products/gao-22-105065,https://www.gao.gov/products/gao-25-108032
U24,infrastructure_privacy_it,GAO-22-104600,units/U24_gao-22-104600_report.txt,units/U24_gao-22-104600_status.txt,21268,1759,068ba71c1dc5a107ce839d81f71ae83edd1fc802456ca0e4026c7e582ffcbfb2,9ef65bff64f13cc360736161db962819a444a2bee904143ff3b2f6afcb4951d4,https://www.gao.gov/products/gao-22-104600,https://www.gao.gov/products/gao-25-108032
