report,registry_id,source_url,format
t58,NCT03852901,https://clinicaltrials.gov/study/NCT03852901,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t59,NCT03895437,https://clinicaltrials.gov/study/NCT03895437,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t60,NCT03917823,https://clinicaltrials.gov/study/NCT03917823,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t61,NCT03935906,https://clinicaltrials.gov/study/NCT03935906,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t62,NCT04052698,https://clinicaltrials.gov/study/NCT04052698,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t63,NCT04084483,https://clinicaltrials.gov/study/NCT04084483,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t64,NCT04098302,https://clinicaltrials.gov/study/NCT04098302,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t65,NCT04322604,https://clinicaltrials.gov/study/NCT04322604,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t66,NCT04366440,https://clinicaltrials.gov/study/NCT04366440,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t67,NCT04446377,https://clinicaltrials.gov/study/NCT04446377,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t68,NCT04516967,https://clinicaltrials.gov/study/NCT04516967,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t69,NCT04989218,https://clinicaltrials.gov/study/NCT04989218,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t70,NCT05112536,https://clinicaltrials.gov/study/NCT05112536,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t71,NCT05429203,https://clinicaltrials.gov/study/NCT05429203,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t72,NCT06518577,https://clinicaltrials.gov/study/NCT06518577,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
