report,sponsor,phase,condition,registry_id,completion_date
t55,University of Michigan,"PHASE2, PHASE3",Urinary Tract Infections,NCT03503513,2023-09-30
t56,"Alexion Pharmaceuticals, Inc.",PHASE4,Acute Intracranial Hemorrhage,NCT03661528,2023-08-09
t57,"Aclaris Therapeutics, Inc.",PHASE3,Common Wart,NCT03687372,2019-09-06
t58,National Institute on Aging (NIA),PHASE1,Empaglifozin,NCT03852901,2021-12-13
t59,"SUNRISE (Tolerion, Inc.)",PHASE2,"Diabetes Mellitus, Type 1",NCT03895437,2020-12-21
t60,"University of California, San Diego",NA,Rib Fractures,NCT03917823,2020-03-25
t61,REACH-HCV (University of Dundee),NA,Hepatitis C,NCT03935906,2021-01-14
t62,Octapharma,PHASE3,Von Willebrand Diseases,NCT04052698,2022-04-23
t63,"Kowa Research Institute, Inc.",PHASE2,Dry Eye Disease,NCT04084483,2020-01-09
t64,UConn Health,"PHASE2, PHASE3",Alcohol Use Disorder,NCT04098302,2024-06-28
t65,ENIGMA 2 (Allakos Inc.),PHASE3,Eosinophilic Gastritis,NCT04322604,2022-01-12
t66,OPerAtiC (Washington University School of Medicine),NA,Surgical Site Infection,NCT04366440,2024-11-30
t67,OrphAI Therapeutics,PHASE2,COVID-19 Disease,NCT04446377,2021-04-19
t68,"Sobi, Inc.",PHASE3,Immune Thrombocytopenia,NCT04516967,2025-10-28
t69,ICC (University of Alabama at Birmingham),"PHASE1, PHASE2",Cholangiocarcinoma,NCT04989218,2024-05-01
t70,"G1 Therapeutics, Inc.",PHASE2,Triple Negative Breast Cancer,NCT05112536,2023-03-13
t71,Stanford University,NA,Biliary Disease,NCT05429203,2024-07-29
t72,Duke University,PHASE4,Influenza,NCT06518577,2025-06-04
