unit_id,grade_band,subject_cluster,source_slug,source_file
G35-HUMANITIES-05,3-5,HUMANITIES,pg1815-boys-life-abraham-lincoln,/input_artifacts/sources/pg1815-boys-life-abraham-lincoln.md
G35-ARTS-01,3-5,ARTS,pg62593-stories-pictures-tell-book-3,/input_artifacts/sources/pg62593-stories-pictures-tell-book-3.md
G35-ARTS-02,3-5,ARTS,pg63199-stories-pictures-tell-book-6,/input_artifacts/sources/pg63199-stories-pictures-tell-book-6.md
G35-ARTS-03,3-5,ARTS,pg63171-stories-pictures-tell-book-7,/input_artifacts/sources/pg63171-stories-pictures-tell-book-7.md
G35-ARTS-04,3-5,ARTS,pg6932-pictures-every-child-should-know,/input_artifacts/sources/pg6932-pictures-every-child-should-know.md
G35-ARTS-05,3-5,ARTS,pg28711-operas-every-child-should-know,/input_artifacts/sources/pg28711-operas-every-child-should-know.md
G68-STEM-01,6-8,STEM,pg72508-nature-readers-sea-side-way-side-no-4,/input_artifacts/sources/pg72508-nature-readers-sea-side-way-side-no-4.md
G68-STEM-02,6-8,STEM,pg14474-chemical-history-candle,/input_artifacts/sources/pg14474-chemical-history-candle.md
G68-STEM-03,6-8,STEM,pg25267-astronomy-for-amateurs,/input_artifacts/sources/pg25267-astronomy-for-amateurs.md
G68-STEM-04,6-8,STEM,pg12655-boy-mechanic-volume-1-700-things-for-boys-to-do,/input_artifacts/sources/pg12655-boy-mechanic-volume-1-700-things-for-boys-to-do.md
G68-STEM-05,6-8,STEM,pg52085-half-hours-with-lower-animals-protozoans-sponges,/input_artifacts/sources/pg52085-half-hours-with-lower-animals-protozoans-sponges.md
G68-HUMANITIES-01,6-8,HUMANITIES,pg16751-mcguffey-s-sixth-eclectic-reader,/input_artifacts/sources/pg16751-mcguffey-s-sixth-eclectic-reader.md
G68-HUMANITIES-02,6-8,HUMANITIES,pg20897-short-history-england,/input_artifacts/sources/pg20897-short-history-england.md
G68-HUMANITIES-03,6-8,HUMANITIES,pg31413-story-extinct-civilizations-west,/input_artifacts/sources/pg31413-story-extinct-civilizations-west.md
G68-HUMANITIES-04,6-8,HUMANITIES,pg24935-famous-tales-fact-fancy,/input_artifacts/sources/pg24935-famous-tales-fact-fancy.md
G68-HUMANITIES-05,6-8,HUMANITIES,pg6306-little-journeys-to-homes-great-volume-06,/input_artifacts/sources/pg6306-little-journeys-to-homes-great-volume-06.md
G68-ARTS-01,6-8,ARTS,pg17478-great-pictures-as-seen-described-by-famous,/input_artifacts/sources/pg17478-great-pictures-as-seen-described-by-famous.md
G68-ARTS-02,6-8,ARTS,pg17474-how-to-listen-to-music-7th-ed,/input_artifacts/sources/pg17474-how-to-listen-to-music-7th-ed.md
G68-ARTS-03,6-8,ARTS,pg14968-standard-operas-their-plots-their-music-their,/input_artifacts/sources/pg14968-standard-operas-their-plots-their-music-their.md
G68-ARTS-04,6-8,ARTS,pg60830-how-to-study-architecture,/input_artifacts/sources/pg60830-how-to-study-architecture.md
G68-ARTS-05,6-8,ARTS,pg19499-music-notation-terminology,/input_artifacts/sources/pg19499-music-notation-terminology.md
G912-STEM-01,9-12,STEM,pg3772-student-s-elements-geology,/input_artifacts/sources/pg3772-student-s-elements-geology.md
G912-STEM-02,9-12,STEM,pg20390-elements-structural-systematic-botany,/input_artifacts/sources/pg20390-elements-structural-systematic-botany.md
G912-STEM-03,9-12,STEM,pg64677-text-book-entomology,/input_artifacts/sources/pg64677-text-book-entomology.md
G912-STEM-04,9-12,STEM,pg16767-half-hours-with-telescope,/input_artifacts/sources/pg16767-half-hours-with-telescope.md
G912-STEM-05,9-12,STEM,pg64601-elementary-botany,/input_artifacts/sources/pg64601-elementary-botany.md
G912-HUMANITIES-01,9-12,HUMANITIES,pg4089-american-nation-history-volume-1-european,/input_artifacts/sources/pg4089-american-nation-history-volume-1-european.md
G912-HUMANITIES-02,9-12,HUMANITIES,pg63644-schools-hellas,/input_artifacts/sources/pg63644-schools-hellas.md
G912-HUMANITIES-03,9-12,HUMANITIES,pg21325-outlines-greek-roman-medicine,/input_artifacts/sources/pg21325-outlines-greek-roman-medicine.md
G912-HUMANITIES-04,9-12,HUMANITIES,pg34572-awakening-soul,/input_artifacts/sources/pg34572-awakening-soul.md
G912-HUMANITIES-05,9-12,HUMANITIES,pg15125-awakening-china,/input_artifacts/sources/pg15125-awakening-china.md
G912-ARTS-01,9-12,ARTS,pg26319-text-book-history-architecture,/input_artifacts/sources/pg26319-text-book-history-architecture.md
G912-ARTS-02,9-12,ARTS,pg14264-practice-science-drawing,/input_artifacts/sources/pg14264-practice-science-drawing.md
G912-ARTS-03,9-12,ARTS,pg43402-cathedrals-great-britain-their-history,/input_artifacts/sources/pg43402-cathedrals-great-britain-their-history.md
G912-ARTS-04,9-12,ARTS,pg73397-vasari-on-technique-being-introduction-to-three,/input_artifacts/sources/pg73397-vasari-on-technique-being-introduction-to-three.md
G912-ARTS-05,9-12,ARTS,pg27183-gate-appreciation-studies-in-relation-art-to,/input_artifacts/sources/pg27183-gate-appreciation-studies-in-relation-art-to.md
