report,source,archive_source,sha256,words
f14,https://fmshrc.gov/sites/default/files/decisions/alj/ALJd_11052019-WEST%202018-0223-DM.htm,https://web.archive.org/web/20240615082622id_/https://fmshrc.gov/sites/default/files/decisions/alj/ALJd_11052019-WEST%202018-0223-DM.htm,96606cbdcda23d1a644b68df34854edd265794d2cee4bc6515bd4898a2c823d7,12821
f15,https://fmshrc.gov/sites/default/files/decisions/alj/ALJd_11062019-WEVA%202018-423.htm,https://web.archive.org/web/20240724064840id_/https://fmshrc.gov/sites/default/files/decisions/alj/ALJd_11062019-WEVA%202018-423.htm,d4246b19fe26c7cf1b88fd8a739497e3a9cf14aa9b6e2406bced15ed61540e44,8956
f16,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_11082022-WEVA%202022-0114%20D.htm,https://web.archive.org/web/20240713013939id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_11082022-WEVA%202022-0114%20D.htm,349176c5c75529d6cc65eb0d4733ec2095b8bc1537cb08d8008042e824fe8084,7253
f17,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_11092021-WEST%202020-0278-M.htm,https://web.archive.org/web/20240714211722id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_11092021-WEST%202020-0278-M.htm,cfd404a85a1750d71ff983b83c46e2283216f2a9f20a59d3d86f1cee0fa0000b,9721
f18,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1112018-WEST%202018-135-DM.htm,https://web.archive.org/web/20250111014848id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1112018-WEST%202018-135-DM.htm,ac5e09e06445985e5d82d79a07fb0814d5a72990edf5862d22da393d0373a163,5672
f19,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1112018-WEVA%202016-565.htm,https://web.archive.org/web/20250104154401id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1112018-WEVA%202016-565.htm,f25122d0b19dc8f243a2098287a8ab31c97dec61cf2cd26d55dd5e335bef58c5,9781
f20,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1112023-WEVA%202022-0301.htm,https://web.archive.org/web/20240713013656id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1112023-WEVA%202022-0301.htm,277cb37e8d305995ef0fc73e4488fb83be30686a862a1db68c9f8f379aad222f,11665
f21,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1112023-WEVA%202022-0428.htm,https://web.archive.org/web/20240713013707id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1112023-WEVA%202022-0428.htm,85e1ad944166398e3559dacd62e09b54b5f6df472c0839ed1a851c27ac356c32,8896
f22,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_11132019-WEST%202019-268%2C%20et%20al.htm,https://web.archive.org/web/20240802070840id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_11132019-WEST%202019-268%2C%20et%20al.htm,6c1ca60d9c35ae2969159311df3a4a81fe47982f8308b319785f894705941296,4629
f23,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_11152018-WEST%202018-339.htm,https://web.archive.org/web/20250114044808id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_11152018-WEST%202018-339.htm,6d6370009c1982e0abf78778905f9d2de8d44f07b89f789d70e02b77b25f560d,4716
f24,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_11202019-WEST%202019-0092%2C%20et%20al.htm,https://web.archive.org/web/20240802070815id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_11202019-WEST%202019-0092%2C%20et%20al.htm,604666ffeac507a471f8baf53c8e88d67cadfb136a08ec0574015dae2a1c30d8,7225
f25,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_11202024-WEST%202021-0178.htm,https://web.archive.org/web/20241129025917id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_11202024-WEST%202021-0178.htm,00e47575d05486963d5443a2479e062d2658fb1f66a5cdbee189d07435d57f0c,3320
f26,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_11212017-WEVA%202009-1000%2C%20et%20al.htm,https://web.archive.org/web/20241031082727id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_11212017-WEVA%202009-1000%2C%20et%20al.htm,0d2b6314db70f6ab883c5328135bbde6ad0f7600d78c63d5680d4575d5af5376,13422
f27,https://fmshrc.gov/sites/default/files/decisions/alj/ALJd_11292017-LAKE%202017-52.htm,https://web.archive.org/web/20250307194824id_/https://fmshrc.gov/sites/default/files/decisions/alj/ALJd_11292017-LAKE%202017-52.htm,9233086b57577c27b3a31e327d52eb6b3b6fe7a557e63f0ab47c6c5c2d1ba5c9,3568
f28,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_11292017-WEST%202017-80%20DM.htm,https://web.archive.org/web/20241030112330id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_11292017-WEST%202017-80%20DM.htm,3952af0edac76956533e1c660aa86a7142bb99ac6dfdb4ca349f55e877fa6bba,4091
f29,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_11292018-CENT%202018-179.htm,https://web.archive.org/web/20250114044800id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_11292018-CENT%202018-179.htm,ae476b2d91f4d6e947e32a2fcc0896d00ec28bd179fa435be90746fa77a3317c,7672
f30,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1142019-LAKE%202018-188%20R.htm,https://web.archive.org/web/20241230073544id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1142019-LAKE%202018-188%20R.htm,a64a9d49f608676aa54d7f7522af33ac8fb2affaccfed7cc4e6a0fedcf5af2e4,5320
f31,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1172019-YORK%202018-31%20M.htm,https://web.archive.org/web/20241024124817id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1172019-YORK%202018-31%20M.htm,5dd4ddeb22297501a52e4bd532f70edd7d76557974ee21e0915932ecb4ba20b1,4107
f32,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1172023-PENN%202022-0084.htm,https://web.archive.org/web/20240713013642id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1172023-PENN%202022-0084.htm,3403ec21f07513cce6b0ccdd6ef6bb2b8bd5d1d0d7863c96c624ab5e0843b275,8735
f33,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12012022-SE%202022-0001-DM%2C%20et%20al.htm,https://web.archive.org/web/20240713013909id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12012022-SE%202022-0001-DM%2C%20et%20al.htm,bc0fb670f36f94055ebabacb58ac6e82ed2136edbcdaaa525fcb962561c8db24,16790
f34,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12022020-WEST%202019-0382-DM.htm,https://web.archive.org/web/20240716201032id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12022020-WEST%202019-0382-DM.htm,eba46293fe97c97f68603effbe1aa1df05b2da2e48af91b09815e7d05c78a068,8359
f35,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12022021-WEST%202018-0402-DM%2C%20et%20al.htm,https://web.archive.org/web/20240714211611id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12022021-WEST%202018-0402-DM%2C%20et%20al.htm,3c10af952176f89787be3149951365be33747aff42f1d58729306ca3d4948b5c,10963
f36,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12052022-PENN%202021-0118%20.htm,https://web.archive.org/web/20240713013853id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12052022-PENN%202021-0118%20.htm,339b058c173b4d353014b263599b1feb8238084f646388ad6c38a5fb1d79fd9b,5425
f37,https://fmshrc.gov/sites/default/files/decisions/alj/ALJd_12062024-LAKE%202024-0064.htm,https://web.archive.org/web/20250103044607id_/https://fmshrc.gov/sites/default/files/decisions/alj/ALJd_12062024-LAKE%202024-0064.htm,1bde9520011324a635afed52d51471a22879cdc090bd5706310c76f7c5993d80,10102
f38,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12072018-SE%202017-97.htm,https://web.archive.org/web/20250114044748id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12072018-SE%202017-97.htm,5b9e21d1e84874c9e6a951ef04192ef7338d79676f9e2a0167edd178d0f6dd18,4223
f39,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12082023-WEVA%25202023-0126.htm,https://web.archive.org/web/20240713011949id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12082023-WEVA%25202023-0126.htm,34eccaa830fec59bf286bfa03903eec47405cbe155d7cafd2398328f9c71b4b4,16134
f40,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12102018-WEST%202018-402%20DM.htm,https://web.archive.org/web/20241231031457id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12102018-WEST%202018-402%20DM.htm,b2d1e7dca2c93531d74704e80ec2df878f795ded25a134dd6820ddf3955674b8,9338
f41,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12122018-CENT%202018-228.htm,https://web.archive.org/web/20241231031444id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12122018-CENT%202018-228.htm,adff2d88fdf879d9600c77b1fa01fcc5b38576fd2773e1473159637bb39108a1,3870
f42,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12122018-CENT%202018-243.htm,https://web.archive.org/web/20241226155751id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12122018-CENT%202018-243.htm,9a60a783e2d3966763a18750144373bd4533a6364d7b07a97a440a7de3cb2ba6,4694
f43,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12132022-CENT%202022-0028.htm,https://web.archive.org/web/20240713013813id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12132022-CENT%202022-0028.htm,d306d49bf7634432ed208f44a4d0fb4caa4c4f74db47244d9d2fe2763998640a,11300
f44,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12132022-WEVA%202022-0301.htm,https://web.archive.org/web/20240713013738id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12132022-WEVA%202022-0301.htm,0a67b1b4b00facddc880a7d6536616beb0be78e36661ac0e4c7c49e5f5a89d79,5883
f45,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12142018-KENT%202013-211.htm,https://web.archive.org/web/20241226141258id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12142018-KENT%202013-211.htm,693fe4422f4125cb83aa535f383d6088f6e0f8981438b6a1ec27f2267e35ec19,7416
f46,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12152017-SE%202012-275.htm,https://web.archive.org/web/20241030094503id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12152017-SE%202012-275.htm,bffbc06e5ad77d90ad2ae4f59756984b1bf99af0425a1279dbbb51dbe78e5769,7697
f47,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12182019-YORK%202019-0025.htm,https://web.archive.org/web/20241101183437id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12182019-YORK%202019-0025.htm,e71c2bb7bc0ce09cf3ddc484a4f5df7fe5f4fc0c8ae8cc7339e7ad99bfbcc847,3896
f48,https://fmshrc.gov/sites/default/files/decisions/alj/ALJd_12182024-WEVA%202023-0337.htm,https://web.archive.org/web/20250104024406id_/https://fmshrc.gov/sites/default/files/decisions/alj/ALJd_12182024-WEVA%202023-0337.htm,560a88163936404e7138d13800c19427aba36837058999166cb1b6f73b5e2432,10161
f49,https://fmshrc.gov/sites/default/files/decisions/alj/ALJd_12202024-SE%202023-0094.htm,https://web.archive.org/web/20250104024355id_/https://fmshrc.gov/sites/default/files/decisions/alj/ALJd_12202024-SE%202023-0094.htm,8af9e84707c86d613a45c3c50b5af00c749405d442b3a98ba740d5cbbd6b90be,10741
f50,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12212017-CENT%202015-279%20DM.htm,https://web.archive.org/web/20241031082707id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12212017-CENT%202015-279%20DM.htm,92499b2ed43eff71f60fb46c127684f3cd9d1b6c194cb1f6d062b52fecd5c0c9,26061
f51,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12222020-LAKE%202019-0389.htm,https://web.archive.org/web/20240716200947id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12222020-LAKE%202019-0389.htm,dbfce93cfc504b9df202a7f390a36a48fc384f639f9e6fc4a8d09611aa1bec36,3776
f52,https://fmshrc.gov/sites/default/files/decisions/alj/ALJd_12232019-WEST%202018-0362-DM.htm,https://web.archive.org/web/20241225160422id_/https://fmshrc.gov/sites/default/files/decisions/alj/ALJd_12232019-WEST%202018-0362-DM.htm,de28c9fb581eceae9c21e1dd2fa69badc79bb9ed1919ff41123b74d41e7c2882,3719
f53,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12282018-YORK%202017-96.htm,https://web.archive.org/web/20241102003953id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12282018-YORK%202017-96.htm,455b57e4ce0b06a7bda624ca6aad3f64a61d27f41dad4f5824312c644398a3b5,5858
f54,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12302019-PENN%202019-8.htm,https://web.archive.org/web/20240802070750id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12302019-PENN%202019-8.htm,987be0dba1716dacc7c4412bda8d6e4acbf557581c60a8d978454050f642866a,9910
f55,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12302024-LAKE%202023-0139_0.htm,https://web.archive.org/web/20250114030822id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12302024-LAKE%202023-0139_0.htm,d1ec9fbe0e9af011b5a14b64ffb30a88c7994d44d2d41629ecaa657665135d78,12538
f56,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12312024-SE%202023-0007.htm,https://web.archive.org/web/20250114030820id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_12312024-SE%202023-0007.htm,2cb49303afd6259093405f804dc2773cc78080991c41475ae647205e98a47457,18458
f57,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1232020-CENT%202019-0133%2C%20et%20al.htm,https://web.archive.org/web/20240802070650id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1232020-CENT%202019-0133%2C%20et%20al.htm,2b4b09a231e59d0fd9b2a046d2717fe1970ea73c812ccbc594d5d4a7edb1993a,12196
f58,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1242023-WEVA%202022-0554%20.htm,https://web.archive.org/web/20240713013615id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1242023-WEVA%202022-0554%20.htm,0f0c9689b98e6e22feb377db96f5ab5e8c4c5532963cc5c39f7bf474c2dc7403,2808
f59,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1262018-LAKE%202016-232%2C%20et%20al.htm,https://web.archive.org/web/20241215230506id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1262018-LAKE%202016-232%2C%20et%20al.htm,a61e0a0bd8f8a5f9473a0538db4cad8fd803b0017d7cf84df8321f7ee38436a0,39601
f60,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1302020-PENN%202018-244.htm,https://web.archive.org/web/20240802070641id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1302020-PENN%202018-244.htm,bc8d85080b412eff90bb0d408db95172406973d92fe3949d99d415cd1c81a7e0,8368
f61,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1312017-SE%202007-203%20R%2C%20et%20al.htm,https://web.archive.org/web/20250118064242id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1312017-SE%202007-203%20R%2C%20et%20al.htm,376f7bef4b4e91dc880fabeba33b6f9cb434bf9eb432cddd48c62b3879186c31,3585
f62,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_2012018-WEST%202017-134.htm,https://web.archive.org/web/20241216071602id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_2012018-WEST%202017-134.htm,78cb3b4af71c51063001610f1f059710c77dec22379856ccacd3f8f3c44bb352,6140
f63,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_2032020-PENN%202019-126.htm,https://web.archive.org/web/20240802070625id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_2032020-PENN%202019-126.htm,b49ad9d0c74cbd8c261875d266bb908d2470a88b98071cd407d3d8345f091054,4799
f64,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_2052018-SE%202017-62%2C%20et%20al.htm,https://web.archive.org/web/20241226141249id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_2052018-SE%202017-62%2C%20et%20al.htm,475c0824186777d907e9eb23a638cf852a488b8918e1718a92b68b615f9618f7,2631
f65,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_2072018-WEST%202017-327.htm,https://web.archive.org/web/20250222145514id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_2072018-WEST%202017-327.htm,88fc361727ddffe8b7491ac9617c4be99d81e5e7264d34e6790181942b3c7582,3173
f66,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_2072022-CENT%202021-0104.htm,https://web.archive.org/web/20240714211536id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_2072022-CENT%202021-0104.htm,07873c445aedd24d1330c7ab8803ca0c1805936e1da774ced4e668d7be468bcd,2562
f67,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_2082019-YORK%202017-0047.htm,https://web.archive.org/web/20241208180100id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_2082019-YORK%202017-0047.htm,a5fb08cdafe126a828770f293e70b1d9d5a90d3572d61333980601a7ecdc2348,10171
f68,https://fmshrc.gov/sites/default/files/decisions/alj/ALJd_2132019-LAKE%202017-224%2C%20et%20al.htm,https://web.archive.org/web/20241217115604id_/https://fmshrc.gov/sites/default/files/decisions/alj/ALJd_2132019-LAKE%202017-224%2C%20et%20al.htm,8dbec3992192d250937a47ae52a223df507d79b616a31e33dcd9b366b358749e,16120
f69,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_2142022-SE%202021-0153%20D.htm,https://web.archive.org/web/20240714211524id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_2142022-SE%202021-0153%20D.htm,4b64abfffeb410c6cb359850674eab6bb93c3c2486e5f1b12086c25450607f9d,17229
f70,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_2152019-LAKE%202016-421%2C%20et%20al.htm,https://web.archive.org/web/20241022034922id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_2152019-LAKE%202016-421%2C%20et%20al.htm,b340431f5193dd0be895d0b1571ec10f587364ea1bf0db89aad15c0b162a6bde,19724
f71,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_2162022-PENN%202021-0074.htm,https://web.archive.org/web/20240714211454id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_2162022-PENN%202021-0074.htm,3d6d9259a8b361fa14ee1ff7bf5a915da9534fb979ead659fe5e6ecc20fda001,8457
f72,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_2202018-LAKE%202016-120%2C%20et%20al.htm,https://web.archive.org/web/20250114045703id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_2202018-LAKE%202016-120%2C%20et%20al.htm,441bfe1edc26884af8bce3f7815fe06b9ecc0a3945100de1b0fd598416f15620,13642
