report,case_name,court,docket,decision_date
f60,"CONSOL PENNSYLVANIA COAL CO., LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",PENN 2018-244,"May 24, 2018"
f61,"JIM WALTER RESOURCES, INC.","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",SE 2007-203-R,"July 24, 2012"
f62,STAKER & PARSON COMPANIES,"Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEST 2017-134-M,"February 1, 2018"
f63,"GMS MINE REPAIR & MAINTENANCE, INC.","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",PENN 2019-0126,"February 3, 2020"
f64,"HANSON AGGREGATES SOUTHEAST, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",SE 2017-0062,"February 5, 2018"
f65,"GCC RIO GRANDE, INC.","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEST 2017-327-M,"February 7, 2018"
f66,"P.W. GILLIBRAND OF TEXAS, INC.","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",CENT 2021-0104,"September 23, 2021"
f67,CORMIER CONSTRUCTION,"Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",YORK 2017-0047,"February 8, 2019"
f68,NORTHSHORE MINING COMPANY,"Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",LAKE 2017-0224,"February 13, 2019"
f69,"WARRIOR MET COAL MINING, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",SE 2021-0153,"February 2, 2021"
f70,"PEABODY MIDWEST MINING, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",LAKE 2016-0421,"February 15, 2019"
f71,"CONSOL PENNSYLVANIA COAL COMPANY, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",PENN 2021-0074,"February 17, 2021"
f72,"PEABODY MIDWEST MINING, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",LAKE 2016-0120,"February 20, 2018"
