disaster_name,industry_domain,slug,source_file,real_date
Fukushima nuclear disaster,chemical,fukushima-nuclear-disaster,corpus/fukushima-nuclear-disaster.md,2011-03-11
Moorgate tube crash,rail,moorgate-tube-crash,corpus/moorgate-tube-crash.md,1975-02-28
1988 Gare de Lyon train accident,rail,1988-gare-de-lyon-train-accident,corpus/1988-gare-de-lyon-train-accident.md,1988-06-27
Ryongchon disaster,rail,ryongchon-disaster,corpus/ryongchon-disaster.md,2004-04-22
Zoufftgen rail accident,rail,zoufftgen-rail-accident,corpus/zoufftgen-rail-accident.md,2006-10-11
Modane train disaster,rail,modane-train-disaster,corpus/modane-train-disaster.md,1917-12-12
Centralia mine fire,mining,centralia-mine-fire,corpus/centralia-mine-fire.md,1962-05-27
Chasnala mining disaster,mining,chasnala-mining-disaster,corpus/chasnala-mining-disaster.md,1975-12-27
Hillcrest mine disaster,mining,hillcrest-mine-disaster,corpus/hillcrest-mine-disaster.md,1914-06-19
RMS Lusitania,maritime,rms-lusitania,corpus/rms-lusitania.md,1915-05-07
Scandinavian Star,maritime,scandinavian-star,corpus/scandinavian-star.md,1990-04-07
SS El Faro,maritime,ss-el-faro,corpus/ss-el-faro.md,2015-10-01
Lauda Air Flight 004,aviation,lauda-air-flight-004,corpus/lauda-air-flight-004.md,1991-05-26
Saudia Flight 163,aviation,saudia-flight-163,corpus/saudia-flight-163.md,1980-08-19
Helios Airways Flight 522,aviation,helios-airways-flight-522,corpus/helios-airways-flight-522.md,2005-08-14
Tay Bridge disaster,structural,tay-bridge-disaster,corpus/tay-bridge-disaster.md,1879-12-28
West Gate Bridge collapse,structural,west-gate-bridge-collapse,corpus/west-gate-bridge-collapse.md,1970-10-15
Malpasset Dam,structural,malpasset-dam,corpus/malpasset-dam.md,1959-12-02
Sandoz chemical spill,chemical,sandoz-chemical-spill,corpus/sandoz-chemical-spill.md,1986-11-01
Three Mile Island accident,chemical,three-mile-island-accident,corpus/three-mile-island-accident.md,1979-03-28
Ghislenghien gas pipeline explosion,chemical,ghislenghien-gas-pipeline-explosion,corpus/ghislenghien-gas-pipeline-explosion.md,2004-07-30
Clayton Tunnel rail crash,rail,clayton-tunnel-rail-crash,corpus/clayton-tunnel-rail-crash.md,1861-08-25
Purley rail crash,rail,purley-rail-crash,corpus/purley-rail-crash.md,1989-03-04
Ufa train disaster,rail,ufa-train-disaster,corpus/ufa-train-disaster.md,1989-06-04
