country,sector,cn_code,description,default_direct_tco2e_per_t,default_indirect_tco2e_per_t,default_total_tco2e_per_t,production_route_of_benchmark
Serbia,Iron and steel,7207 11 14,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of <= 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel)","2,410",N/A,"2,410",(C)
Serbia,Iron and steel,7208,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled, not clad, plated or coated","2,410",N/A,"2,410",(C)
Serbia,Iron and steel,7209,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, cold-rolled ""cold-reduced"", not clad, plated or coated","2,410",N/A,"2,410",(C)
Serbia,Iron and steel,7213,"Bars and rods of iron or non-alloy steel, hot-rolled, in irregularly wound coils","2,410",N/A,"2,410",(C)
Serbia,Iron and steel,7219 12,"Flat-rolled products of stainless steel, of a width of>= 600 mm, not further worked than hot-rolled, in coils, of a thickness of >= 4,7 mm and <= 10 mm","2,590",N/A,"2,590",
Serbia,Iron and steel,7326 90 98,"Articles of iron or steel, n.e.s.","2,410",N/A,"2,410",(C)
Serbia,Aluminium,7601,Unwrought aluminium,"0,360",N/A,"0,360",(L)
Serbia,Aluminium,7604 21 00,Hollow profiles,"2,270",N/A,"2,270",(L)
Serbia,Aluminium,7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm","3,688",N/A,"3,688",(L)
Serbia,Aluminium,7608,Aluminium tubes and pipes,"2,270",N/A,"2,270",(L)
Serbia,Aluminium,7610 90 90,Other,"2,270",N/A,"2,270",(L)
"Korea, Republic of",Cement,2507 00 80 80,Calcined clay,-,-,-,
"Korea, Republic of",Cement,2523 10 00 90,Other clinker including grey clinker,"0,880","0,030","0,920",(A)
"Korea, Republic of",Cement,2523 29 00,Grey Portland cement,"0,890","0,060","0,940",
"Korea, Republic of",Fertilisers,2808 00 00,Nitric acid; sulphonitric acids,"2,130","0,060","2,190",
"Korea, Republic of",Fertilisers,2814 10 00,Anhydrous ammonia,-,-,-,
"Korea, Republic of",Fertilisers,3102 10 19,"Urea, whether or not in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg, or in aqueous solution containing =>31,8% but <=55% by weight of urea)","1,410","0,140","1,540",
"Korea, Republic of",Fertilisers,3102 30 90,"Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","2,090","0,130","2,220",
"Korea, Republic of",Fertilisers,3105 20 10,"Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","0,900","0,100","1,000",
"Korea, Republic of",Fertilisers,3105 30 00,"Diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","0,480","0,070","0,550",
"Korea, Republic of",Iron and steel,7201,"Pig iron and spiegeleisen, in pigs, blocks or other primary forms","1,540",N/A,"1,540",
"Korea, Republic of",Iron and steel,7202 41,"Ferro-chromium, containing by weight > 4% of carbon","2,350",N/A,"2,350",
"Korea, Republic of",Iron and steel,7203,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms",-,N/A,-,
"Korea, Republic of",Iron and steel,7207 11 14,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of <= 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel)","2,118",N/A,"2,118",(C)
"Korea, Republic of",Iron and steel,7208,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled, not clad, plated or coated","2,118",N/A,"2,118",(C)
"Korea, Republic of",Iron and steel,7209,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, cold-rolled ""cold-reduced"", not clad, plated or coated","2,144",N/A,"2,144",(C)
"Korea, Republic of",Iron and steel,7213,"Bars and rods of iron or non-alloy steel, hot-rolled, in irregularly wound coils","2,118",N/A,"2,118",(C)
"Korea, Republic of",Iron and steel,7219 12,"Flat-rolled products of stainless steel, of a width of>= 600 mm, not further worked than hot-rolled, in coils, of a thickness of >= 4,7 mm and <= 10 mm","3,630",N/A,"3,630",
"Korea, Republic of",Iron and steel,7326 90 98,"Articles of iron or steel, n.e.s.","2,144",N/A,"2,144",(C)
"Korea, Republic of",Aluminium,7601,Unwrought aluminium,"0,360",N/A,"0,360",(L)
"Korea, Republic of",Aluminium,7604 21 00,Hollow profiles,"1,500",N/A,"1,500",(L)
"Korea, Republic of",Aluminium,7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm","1,950",N/A,"1,950",(L)
"Korea, Republic of",Aluminium,7608,Aluminium tubes and pipes,"1,500",N/A,"1,500",(L)
"Korea, Republic of",Aluminium,7610 90 90,Other,"1,500",N/A,"1,500",(L)
Brazil,Cement,2507 00 80 80,Calcined clay,-,-,-,
Brazil,Cement,2523 10 00 90,Other clinker including grey clinker,-,-,-,
Brazil,Cement,2523 29 00,Grey Portland cement,-,-,-,
Brazil,Fertilisers,2808 00 00,Nitric acid; sulphonitric acids,"2,040","0,020","2,070",
Brazil,Fertilisers,2814 10 00,Anhydrous ammonia,"3,120","0,080","3,210",
Brazil,Fertilisers,3102 10 19,"Urea, whether or not in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg, or in aqueous solution containing =>31,8% but <=55% by weight of urea)","2,020","0,060","2,070",
Brazil,Fertilisers,3102 30 90,"Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","2,260","0,050","2,310",
Brazil,Fertilisers,3105 20 10,"Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","0,990","0,040","1,030",
Brazil,Fertilisers,3105 30 00,"Diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","0,730","0,030","0,750",
Brazil,Iron and steel,7201,"Pig iron and spiegeleisen, in pigs, blocks or other primary forms","1,478",N/A,"1,478",
Brazil,Iron and steel,7202 41,"Ferro-chromium, containing by weight > 4% of carbon","2,350",N/A,"2,350",
Brazil,Iron and steel,7203,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms",-,N/A,-,
Brazil,Iron and steel,7207 11 14,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of <= 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel)","1,610",N/A,"1,610",(C)
Brazil,Iron and steel,7208,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled, not clad, plated or coated","1,620",N/A,"1,620",(C)
Brazil,Iron and steel,7209,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, cold-rolled ""cold-reduced"", not clad, plated or coated","1,730",N/A,"1,730",(C)
Brazil,Iron and steel,7213,"Bars and rods of iron or non-alloy steel, hot-rolled, in irregularly wound coils","1,610",N/A,"1,610",(C)
Brazil,Iron and steel,7219 12,"Flat-rolled products of stainless steel, of a width of>= 600 mm, not further worked than hot-rolled, in coils, of a thickness of >= 4,7 mm and <= 10 mm","3,210",N/A,"3,210",
Brazil,Iron and steel,7326 90 98,"Articles of iron or steel, n.e.s.","1,730",N/A,"1,730",(C)
Brazil,Aluminium,7601,Unwrought aluminium,"1,700",N/A,"1,700",(K)
Brazil,Aluminium,7604 21 00,Hollow profiles,"2,060",N/A,"2,060",(K)
Brazil,Aluminium,7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm","2,500",N/A,"2,500",(K)
Brazil,Aluminium,7608,Aluminium tubes and pipes,"2,060",N/A,"2,060",(K)
Brazil,Aluminium,7610 90 90,Other,"2,060",N/A,"2,060",(K)
Bahrain,Aluminium,7601,Unwrought aluminium,"1,870",N/A,"1,870",(K)
Bahrain,Aluminium,7604 21 00,Hollow profiles,"2,220",N/A,"2,220",(K)
Bahrain,Aluminium,7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm","2,660",N/A,"2,660",(K)
Bahrain,Aluminium,7608,Aluminium tubes and pipes,"2,220",N/A,"2,220",(K)
Bahrain,Aluminium,7610 90 90,Other,"2,220",N/A,"2,220",(K)
Mozambique,Aluminium,7601,Unwrought aluminium,"3,198",N/A,"3,198",(K)
Mozambique,Aluminium,7604 21 00,Hollow profiles,"4,161",N/A,"4,161",(K)
Mozambique,Aluminium,7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm","4,986",N/A,"4,986",(K)
Mozambique,Aluminium,7608,Aluminium tubes and pipes,"4,161",N/A,"4,161",(K)
Mozambique,Aluminium,7610 90 90,Other,"4,161",N/A,"4,161",(K)
Kazakhstan,Cement,2507 00 80 80,Calcined clay,-,-,-,
Kazakhstan,Cement,2523 10 00 90,Other clinker including grey clinker,"1,350","0,040","1,390",(A)
Kazakhstan,Cement,2523 29 00,Grey Portland cement,"1,350","0,070","1,420",
Kazakhstan,Fertilisers,2808 00 00,Nitric acid; sulphonitric acids,"2,730","0,040","2,770",
Kazakhstan,Fertilisers,2814 10 00,Anhydrous ammonia,"2,160","0,140","2,300",
Kazakhstan,Fertilisers,3102 10 19,"Urea, whether or not in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg, or in aqueous solution containing =>31,8% but <=55% by weight of urea)","1,470","0,110","1,580",
Kazakhstan,Fertilisers,3102 30 90,"Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","2,570","0,110","2,670",
Kazakhstan,Fertilisers,3105 20 10,"Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","1,080","0,100","1,180",
Kazakhstan,Fertilisers,3105 30 00,"Diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","0,510","0,060","0,570",
Kazakhstan,Iron and steel,7201,"Pig iron and spiegeleisen, in pigs, blocks or other primary forms","4,960",N/A,"4,960",
Kazakhstan,Iron and steel,7202 41,"Ferro-chromium, containing by weight > 4% of carbon","2,350",N/A,"2,350",
Kazakhstan,Iron and steel,7203,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms",-,N/A,-,
Kazakhstan,Iron and steel,7207 11 14,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of <= 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel)","5,180",N/A,"5,180",(C)
Kazakhstan,Iron and steel,7208,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled, not clad, plated or coated","5,290",N/A,"5,290",(C)
